planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,Radial_Velocity_Amplitude,planet_temperature,star_temperature,star_radius,star_mass,Predicted Temperature
K2-11 b,1,39.8478,0.2196,2.42,,,9.84,,,5264.0,0.83,0.89,457.9717
K2-11 b,1,39.93767,0.2257,7.55,,,,,734.0,5433.0,5.15,1.35,1236.1702
K2-110 b,1,13.86375,0.1021,2.592,89.35,0.079,,5.5,640.0,5010.0,0.71,0.74,592.6519
K2-110 b,1,13.86375,0.10207,2.592,89.35,0.13,27.7,5.25,638.0,5010.0,0.71,0.74,592.74524
K2-110 b,1,13.86387,0.1027,2.56,,,,,575.0,4950.0,0.71,0.75,585.2557
K2-111 b,1,5.3518,0.057,1.82,86.43,0.13,,2.21,,5775.0,1.25,0.84,1197.8403
K2-111 b,1,5.3518,0.0565,1.82,86.43,0.1,490.0,2.3,1309.0,5775.0,1.25,0.84,1202.8928
K2-111 b,1,5.35117,0.0621,1.9,86.2,0.0,,3.1,1309.0,5730.0,1.23,0.88,1128.3672
K2-113 b,1,5.817685,0.0642,12.14,,,,,1098.0,5660.0,1.24,1.04,1118.8066
K2-113 b,1,5.817608,0.0558,10.424,86.21,0.0,,144.5,1178.0,5627.0,1.05,1.01,1115.6635
K2-114 b,1,11.390931,0.0944,10.592,89.16,0.079,,200.0,701.0,4899.0,0.83,0.86,662.912
K2-114 b,1,11.3909344,0.0983,10.88,,,,,722.0,5039.0,0.87,0.89,683.3645
K2-114 b,1,11.39109,0.09309,10.559,89.53,0.0,,189.0,719.0,5027.0,0.83,0.83,676.994
K2-114 b,1,11.391013,0.0954,10.67,,,,,661.0,5044.0,0.84,0.89,683.1997
K2-114 b,1,11.3909311,0.0943,10.447,89.21,0.081,40.0,200.0,701.0,4920.0,0.82,0.86,662.1972
K2-115 b,1,20.272615,0.143,12.06,,,,,619.0,5657.0,0.88,0.95,636.03394
K2-115 b,1,20.2729914,0.1415,11.803,88.912,0.063,,80.0,696.0,5870.0,0.85,0.92,647.49603
K2-115 b,1,20.273034,0.1367,12.498,88.82,0.137,,77.0,682.0,5560.0,0.88,0.83,631.0779
K2-116 b,1,4.655411,0.048,690.0,89.09,0.06,78.6,,,4348.35,0.67,0.69,730.5827
K2-117 b,1,1.2916,0.0189,2.03,,,,,868.0,3778.0,0.51,0.54,906.9247
K2-117 b,1,1.291563,0.0188,2.03,,,123.6,,,3676.0,0.51,0.53,892.4652
K2-117 b,1,1.291505,0.019,1.96,88.36,0.06,145.8,,,3842.12,0.49,0.58,926.723
K2-117 c,1,5.44482,0.051,2.03,89.49,0.15,21.4,,,3842.12,0.49,0.58,557.45056
K2-117 c,1,5.444017,0.0492,2.06,,,,,537.0,3778.0,0.51,0.54,558.1375
K2-117 c,1,5.44425,0.0491,1.94,,,18.1,,,3676.0,0.51,0.53,549.0286
K2-118 b,1,50.92092,0.245,2.54,89.5,0.2,4.3,,,4726.29,0.73,0.76,370.4763
K2-119 b,1,7.727283,0.0698,2.53,,,,,666.0,4740.0,0.71,0.76,688.14465
K2-119 b,1,7.728578,0.07,2.29,89.4,0.07,54.9,,,4752.8,0.68,0.76,675.6398
K2-12 b,1,8.28212,0.0802,2.33,,,,,1003.0,5800.0,1.01,1.01,936.7296
K2-12 b,1,8.28176,0.0847,2.72,,,310.0,,,6177.0,1.31,1.18,1098.1698
K2-12 b,1,8.28246,0.0792,2.44,87.6,0.5,185.0,2.1,1026.0,5672.0,1.12,0.96,955.62415
K2-121 b,1,5.185761,0.0525,7.5,,,,,723.0,4551.0,0.68,0.72,739.3711
K2-121 b,1,5.1857539,0.0629,7.52,,,,,738.0,4690.0,0.67,0.69,692.0653
K2-121 b,1,5.185754,0.052,9.12,87.25,0.22,89.5,,,4471.38,0.77,0.71,759.21924
K2-122 b,2,2.219282,0.0285,1.21,,,,,814.0,4027.0,0.6,0.62,859.6778
K2-122 b,2,2.219405,0.029,1.28,86.39,0.21,79.9,,,3993.36,0.59,0.63,842.7471
K2-122 b,2,2.2193023,0.0373,1.16,,,,,769.0,4009.0,0.59,0.63,732.58124
K2-122 b,2,2.219315,0.0288,1.22,,,95.7,,,3903.0,0.61,0.64,856.22614
K2-123 b,1,30.9542,0.1641,2.66,,,2.7,,,3880.0,0.59,0.61,348.60147
K2-123 b,1,30.956763,0.167,2.65,89.79,0.06,2.9,,,4075.67,0.57,0.65,357.04617
K2-123 b,1,30.951524,0.1649,2.76,,,,,338.0,4035.0,0.59,0.62,356.07245
K2-124 b,1,6.413651,0.049,2.9,89.03,,,,442.0,3570.0,0.39,0.39,468.40213
K2-124 b,1,6.413766,0.051,3.03,,,,,445.0,3560.0,0.41,0.43,473.15164
K2-124 b,1,6.413539,0.051,2.64,89.51,0.08,8.7,,,3560.7,0.34,0.44,458.5508
K2-125 b,1,21.750264,0.121,2.18,89.72,0.08,2.0,,,3654.47,0.4,0.49,329.25186
K2-126 b,1,7.387073,0.066,1.84,89.4,0.06,35.3,,,4367.83,0.62,0.7,617.7178
K2-126 b,1,7.385655,0.0656,1.97,,,,,601.0,4339.0,0.65,0.69,622.9353
K2-127 b,1,3.588163,0.0411,8.37,,,,,809.0,4575.0,0.66,0.72,831.88214
K2-127 b,1,3.588165,0.041,8.66,87.22,0.12,105.6,,,4387.84,0.68,0.7,811.2513
K2-128 b,1,5.675819,0.056,1.42,87.4,0.23,68.8,,,4469.51,0.78,0.71,734.84564
K2-129 b,1,8.239493,0.057,1.04,89.21,0.13,4.5,,,3459.09,0.36,0.36,424.94223
K2-13 b,1,39.91488,0.2114,1.89,,,,,511.0,5698.0,0.78,0.8,489.8743
K2-13 b,1,40.0603,0.2245,2.7,,,22.8,,,5727.0,1.09,0.94,556.53107
K2-130 b,1,2.49412,0.032,1.25,86.53,0.17,136.4,,,4356.47,0.74,0.7,946.64246
K2-131 b,1,0.36931,0.0095,1.7,,,,,2062.0,5245.0,0.75,0.84,2134.0884
K2-131 b,1,0.3693038,0.00936,1.69,85.0,0.0,4070.0,8.0,2223.0,5120.0,0.76,0.8,2104.2693
K2-132 b,1,9.1708,0.0916,12.207,77.46,0.29,,43.0,1586.0,4878.0,4.11,1.19,1489.7157
K2-133 b,1,3.0712,0.033,1.31,87.56,,,,,3655.0,0.47,0.51,643.3508
K2-133 b,1,3.07133,0.03194,1.34,87.6,,,,,3655.0,0.46,0.46,630.3325
K2-133 c,1,4.8682,0.045,1.48,88.65,,,,,3655.0,0.47,0.51,550.59973
K2-133 c,1,4.86784,0.04341,1.603,88.21,,,,,3655.0,0.46,0.46,543.59375
K2-133 d,1,11.02454,0.07487,2.003,89.4,,,,,3655.0,0.46,0.46,429.14145
K2-133 d,1,11.0234,0.077,2.02,89.52,,,,,3655.0,0.47,0.51,431.4393
K2-133 e,1,26.5841,0.1346,1.73,89.164,,1.8,,296.0,3655.0,0.46,0.46,309.16547
K2-136 b,2,7.9752,0.0707,1.014,,0.14,33.5,1.7,610.0,4500.0,0.68,0.74,622.33716
K2-136 c,2,17.30713,0.1185,3.0,,0.047,11.91,5.49,470.0,4500.0,0.68,0.74,492.01575
K2-136 c,2,17.3077,0.11728,3.03,89.3,,11.9,,,4364.0,0.71,0.71,502.89456
K2-136 d,2,25.575,0.1538,1.565,,0.071,7.07,780.0,420.0,4500.0,0.68,0.74,437.77103
K2-137 b,1,0.179715,0.0058,890.0,89.6,0.0,,,1471.0,3492.0,0.44,0.46,1346.7424
K2-138 b,1,2.35309,0.03385,1.51,87.2,0.048,,1.56,,5356.3,0.86,0.94,1251.3248
K2-138 b,1,2.35321,0.0338,1.49,87.72,,424.51,,1157.0,5283.0,0.84,0.92,1220.6892
K2-138 b,1,2.35322,0.0338,1.57,86.9,0.403,486.0,,,5378.0,0.86,0.93,1252.0096
K2-138 c,1,3.56004,0.04461,2.299,88.1,0.045,,2.78,,5356.3,0.86,0.94,1078.4238
K2-138 c,1,3.55987,0.04454,2.52,87.5,0.296,279.0,,,5378.0,0.86,0.93,1078.2897
K2-138 c,1,3.56015,0.0442,2.26,88.59,,248.95,,1012.0,5283.0,0.84,0.92,1056.9938
K2-138 d,1,5.40484,0.0575,2.46,89.11,,147.12,,888.0,5283.0,0.84,0.92,926.10986
K2-138 d,1,5.40479,0.05893,2.39,89.0,0.043,,3.03,,5356.3,0.86,0.94,939.09436
K2-138 d,1,5.40478,0.05883,2.66,87.9,0.348,160.0,,,5378.0,0.86,0.93,941.6219
K2-138 e,1,8.26147,0.0792,3.11,88.92,,77.79,,757.0,5283.0,0.84,0.92,786.7027
K2-138 e,1,8.26146,0.0782,3.39,88.6,0.077,,4.31,,5356.3,0.86,0.94,812.52454
K2-138 e,1,8.26144,0.07807,3.29,88.7,0.315,91.1,,,5378.0,0.86,0.93,815.5895
K2-138 f,1,12.75759,0.1043,2.81,89.03,0.364,51.0,,,5378.0,0.86,0.93,702.9334
K2-138 f,1,12.75758,0.10447,2.904,88.8,0.062,,470.0,,5356.3,0.86,0.94,701.0597
K2-138 f,1,12.75758,0.1064,2.73,88.99,,43.02,,653.0,5283.0,0.84,0.92,678.9988
K2-138 g,1,41.96645,0.2287,3.18,89.29,,9.29,,445.0,5283.0,0.84,0.92,452.83395
K2-138 g,1,41.96797,0.23109,3.013,89.4,0.059,,830.0,,5356.3,0.86,0.94,461.76733
K2-139 b,1,28.380619,0.1796,9.11,,,,,524.0,5370.0,0.88,0.96,536.7224
K2-139 b,1,28.38236,0.179,9.057,89.62,0.12,,27.7,565.0,5340.0,0.86,0.92,527.3326
K2-14 b,1,8.368791,0.069,7.49,88.19,0.14,5.5,,,3970.42,0.62,0.62,542.7377
K2-14 b,1,8.36802,0.0627,4.81,,,,,488.0,3789.0,0.45,0.47,466.08737
K2-14 b,1,8.36926,0.061,4.48,,,8.0,,,3866.0,0.39,0.43,457.3627
K2-140 b,1,6.569188,0.068,13.563,88.3,0.0,204.0,104.1,962.0,5585.0,1.06,0.96,991.90955
K2-140 b,1,6.56918,0.0687,12.25,,,,,957.0,5705.0,0.99,1.0,984.94086
K2-140 b,1,6.5693,0.0591,12.274,88.51,0.12,188.5,111.2,1114.0,5654.0,0.99,1.0,1053.7617
K2-141 b,1,0.2803244,0.00747,1.51,86.3,0.0,3260.0,6.1,2103.0,4570.0,0.68,0.71,1891.5615
K2-141 b,1,0.2803226,0.00716,1.54,90.0,0.0,,6.74,2039.0,4373.0,0.67,0.66,1812.9858
K2-141 c,1,7.7485,0.0683,7.0,87.2,0.092,39.1,3.2,695.0,4570.0,0.68,0.71,654.0126
K2-146 b,1,2.644661,0.0259,2.15,,,,,534.0,3398.0,0.33,0.33,580.037
K2-146 b,1,2.644646,0.0266,2.2,,,20.7,,,3385.0,0.35,0.36,590.09863
K2-146 b,1,2.6698,0.0248,2.25,88.5,0.14,,,,3385.0,0.35,0.36,608.9066
K2-146 c,1,3.9663,0.0327,2.59,87.3,0.16,,,,3385.0,0.35,0.36,527.6614
K2-147 b,1,0.961939,0.01575,1.473,83.6,0.38,,,1077.0,3690.0,0.58,0.56,1061.3389
K2-147 b,1,0.961917,0.0159,1.38,,,200.1,,,3672.0,0.55,0.58,1050.9937
K2-148 b,2,4.38395,0.0454,1.33,,,48.8,,,4079.0,0.63,0.65,687.53577
K2-148 c,2,6.9226,0.0616,1.73,,,26.5,,,4079.0,0.63,0.65,578.5885
K2-148 d,2,9.7579,0.0774,1.64,,,16.8,,,4079.0,0.63,0.65,526.80035
K2-149 b,1,11.332,0.083,1.64,,,7.0,,,3745.0,0.57,0.59,461.27042
K2-15 b,1,11.8097,0.0946,2.84,,,48.0,,,5314.0,0.78,0.81,688.3603
K2-15 b,1,11.8104,0.091,2.48,,,,,676.0,5131.0,0.68,0.72,631.1282
K2-150 b,1,10.59357,0.0727,2.0,,,4.9,,,3499.0,0.44,0.46,420.99142
K2-151 b,2,3.835592,0.0365,1.35,,,20.8,,,3585.0,0.43,0.44,537.3818
K2-151 b,2,3.835476,0.0373,1.49,,,,,566.0,3695.0,0.45,0.47,554.6714
K2-152 b,1,32.6527,0.1735,2.81,,,2.9,,,3940.0,0.63,0.65,356.84103
K2-152 b,1,32.6479,0.1716,2.29,,,,,337.0,4044.0,0.61,0.63,356.03015
K2-153 b,1,7.51554,0.0601,2.0,,,11.8,,,3720.0,0.49,0.51,490.85056
K2-153 b,1,7.51574,0.0614,2.0,,,,,497.0,3845.0,0.53,0.55,517.05945
K2-154 b,1,3.67626,0.0405,1.99,,,,,715.0,4097.0,0.63,0.65,739.46045
K2-154 b,1,3.67635,0.0408,2.23,,,57.5,,,3978.0,0.65,0.67,744.4483
K2-154 c,1,7.95478,0.0683,2.1,,,20.5,,,3978.0,0.65,0.67,565.2333
K2-154 c,1,7.95486,0.0677,2.07,,,,,552.0,4097.0,0.63,0.65,570.2295
K2-155 b,1,6.342,0.0562,1.8,88.3,,,,708.0,4258.0,0.58,0.65,624.94714
K2-155 b,1,6.34365,0.0546,1.55,,,19.9,,,3919.0,0.53,0.54,552.1334
K2-155 c,1,13.85,0.0946,2.6,88.96,,,,583.0,4258.0,0.58,0.65,479.1845
K2-155 c,1,13.85402,0.092,1.95,,,7.0,,,3919.0,0.53,0.54,435.62842
K2-155 d,1,40.6835,0.1886,1.64,,,1.67,,,3919.0,0.53,0.54,299.2246
K2-155 d,1,40.718,0.1937,1.9,89.61,,,,381.0,4258.0,0.58,0.65,341.84302
K2-156 b,1,0.81314,0.0149,1.15,,,,,1347.0,4597.0,0.66,0.66,1423.3984
K2-158 b,1,10.06049,0.0887,2.64,,,,,794.0,5503.0,0.95,0.92,817.70276
K2-158 c,1,5.90279,0.0622,1.28,,,,,948.0,5503.0,0.95,0.92,975.9179
K2-159 b,1,12.42205,0.1013,2.26,,,,,684.0,5425.0,0.83,0.9,702.3328
K2-16 b,1,7.61856,0.06696,1.96,,,47.7,,,4800.0,0.67,0.69,682.6278
K2-16 b,1,7.62067,0.0662,2.13,,,,,710.0,4761.0,0.64,0.67,666.0435
K2-16 b,1,7.6188,0.0667,2.02,87.97,,44.5,,658.0,4742.0,0.66,0.68,670.70215
K2-16 c,1,19.07863,0.1229,2.54,87.83,,13.1,,485.0,4742.0,0.66,0.68,493.31726
K2-16 c,1,19.077,0.1235,2.19,,,14.0,,,4800.0,0.67,0.69,500.88803
K2-16 c,1,19.07536,0.122,2.14,,,,,523.0,4761.0,0.64,0.67,490.90778
K2-162 b,1,9.45889,0.0795,1.44,,,,,631.0,4842.0,0.69,0.75,646.8135
K2-166 b,1,8.52695,0.0858,2.19,,,,,1140.0,5960.0,1.61,1.16,1160.2905
K2-167 b,1,9.97748,0.091,2.3,88.6,0.47,317.0,1.97,1174.0,6011.0,1.49,1.01,1078.5215
K2-167 b,1,9.97857,0.0999,2.264,87.41,0.41,229.0,,1131.0,6141.0,1.46,1.34,1078.0686
K2-167 b,1,9.978541,0.0932,2.365,86.8,0.48,,,1220.0,6310.0,1.5,1.08,1127.0657
K2-17 b,1,17.9654,0.1088,1.53,,,4.91,,,4102.0,0.48,0.53,398.66376
K2-17 b,1,17.96753,0.119,2.23,,,,,487.0,4320.0,0.66,0.71,464.6929
K2-17 b,1,17.969029,0.117,2.03,89.08,0.18,10.5,,,4118.41,0.63,0.66,441.62552
K2-174 b,1,19.562307,0.126,2.6,89.95,,,,455.0,4455.0,0.68,0.7,467.72818
K2-18 b,1,32.9418,0.1506,2.28,,,0.95,,,3496.0,0.4,0.42,270.5795
K2-18 b,1,32.940045,0.1591,2.61,,,1.0,,255.0,3457.0,0.44,0.5,281.96866
K2-18 b,1,32.93963,0.143,2.38,89.579,0.43,,3.18,235.0,3457.0,0.41,0.36,267.8449
K2-18 b,1,32.94488,0.1491,2.24,,,,,272.0,3503.0,0.39,0.41,269.461
K2-18 b,1,32.939614,0.1429,2.279,89.579,0.0,1.05,,,3457.0,0.41,0.36,267.91153
K2-18 b,1,32.939623,0.1429,2.37,,0.2,,3.55,284.0,3457.0,0.41,0.36,267.90564
K2-180 b,1,8.8665,0.075,2.242,88.9,0.0,67.0,4.4,729.0,5110.0,0.69,0.71,697.8186
K2-180 b,1,8.865663,0.0756,2.466,89.15,0.075,,4.36,798.0,5365.0,0.72,0.73,745.7223
K2-180 b,1,8.8656511,0.0734,2.52,,,,,802.0,5306.0,0.72,0.72,747.1492
K2-180 b,1,8.867209,0.0753,2.31,,,,,731.0,5358.0,0.72,0.72,746.3409
K2-181 b,1,6.894256,0.0706,2.84,,,,,962.0,5608.0,1.07,0.99,983.9689
K2-181 b,1,6.893813,0.0714,2.836,87.4,0.4,,,1015.0,5520.0,1.04,1.02,956.7762
K2-182 b,1,4.736837,0.0529,2.76,,,,,885.0,5165.0,0.8,0.88,920.5374
K2-182 b,1,4.7369683,0.0526,2.69,89.4,0.04,146.9,8.4,969.0,5170.0,0.79,0.86,914.74695
K2-182 b,1,4.7369696,0.05174,2.713,88.91,0.071,,9.1,966.0,5128.0,0.79,0.82,908.2378
K2-182 b,1,4.7369729,0.0519,2.7,,,,,982.0,5181.0,0.8,0.84,924.29443
K2-183 c,1,10.792635,0.0932,2.87,,,,,787.0,5519.0,0.97,0.93,806.73413
K2-183 d,1,22.631964,0.1527,2.86,,,,,615.0,5519.0,0.97,0.93,624.25665
K2-184 b,1,16.995731,0.1229,1.55,,,,,580.0,5220.0,0.78,0.86,595.85126
K2-184 b,1,16.9780102,0.1685,1.47,,,,,533.0,5245.0,0.75,0.84,505.69772
K2-187 b,1,0.77392,0.0164,1.3,,,,,1815.0,5484.0,0.92,0.98,1889.8545
K2-187 c,1,2.872042,0.0392,1.8,,,,,1173.0,5484.0,0.92,0.98,1230.3868
K2-187 d,1,7.14921,0.072,3.17,,,,,865.0,5484.0,0.92,0.98,894.48956
K2-187 e,1,13.609878,0.1106,2.38,,,,,698.0,5484.0,0.92,0.98,723.2179
K2-188 b,1,1.742169,0.0289,1.35,,,,,1692.0,5977.0,1.19,1.06,1752.9669
K2-188 c,1,7.810253,0.0785,2.83,,,,,1026.0,5977.0,1.19,1.06,1047.1233
K2-189 b,1,2.588309,0.0361,1.52,,,,,1197.0,5519.0,0.87,0.94,1238.9905
K2-189 c,1,6.679195,0.068,2.5,,,,,872.0,5519.0,0.87,0.94,897.3446
K2-19 b,1,7.919454,0.077,7.23,88.83,0.0,87.7,,,5230.0,0.88,0.89,806.0067
K2-19 b,1,7.921101,0.0762,7.46,88.87,0.119,,,,5390.0,0.91,0.95,852.2473
K2-19 b,1,7.91943,0.0735,7.11,,,,,913.0,5519.0,0.81,0.84,830.128
K2-19 b,1,7.91952,0.0775,8.2,,,165.0,,,5748.0,1.01,0.99,942.8085
K2-19 b,1,7.9194,0.074,7.74,89.47,,125.9,,854.0,5430.0,0.86,0.93,843.031
K2-19 c,1,11.90727,0.1001,4.51,88.92,,,,,5390.0,0.91,0.95,739.39996
K2-19 c,1,11.90701,0.1032,4.21,89.91,0.0,48.8,,,5230.0,0.88,0.89,692.66833
K2-19 c,1,11.90715,0.0971,4.86,87.99,,73.1,,745.0,5430.0,0.86,0.93,732.5047
K2-19 c,1,11.90724,0.1017,4.93,,,96.0,,,5748.0,1.01,0.99,822.3474
K2-19 c,1,11.90691,0.0965,4.31,,,,,797.0,5519.0,0.81,0.84,722.9834
K2-19 d,1,2.50858,0.036,1.22,,,766.0,,,5748.0,1.01,0.99,1393.1763
K2-19 d,1,2.50856,0.0344,1.14,85.83,,583.5,,1252.0,5430.0,0.86,0.93,1247.0334
K2-192 b,1,4.162817,0.049,1.52,,,,,939.0,5222.0,0.81,0.9,975.9629
K2-193 b,1,14.786889,0.1184,3.95,,,,,739.0,5817.0,0.98,1.01,759.15875
K2-195 b,1,15.852975,0.1208,3.13,,,,,720.0,5713.0,0.99,0.94,737.2184
K2-197 b,1,8.357881,0.0806,2.56,,,,,848.0,5667.0,0.93,1.0,877.27997
K2-199 b,1,3.225338,0.0385,1.87,,,,,861.0,4648.0,0.68,0.73,886.1945
K2-199 b,1,3.2253993,0.0382,1.73,88.8,0.02,116.2,3.8,913.0,4491.0,0.68,0.71,860.8187
K2-199 c,1,7.3744897,0.0662,2.85,87.7,0.03,38.6,5.1,694.0,4491.0,0.68,0.71,653.5498
K2-199 c,1,7.374694,0.0668,2.78,,,,,653.0,4648.0,0.68,0.73,674.44543
K2-203 b,1,9.6952,0.0824,1.265,89.12,0.23,,,738.0,5026.0,0.77,0.79,693.8474
K2-204 b,1,7.055908,0.0738,3.172,88.76,0.28,,,1148.0,5783.0,1.25,1.08,1070.0049
K2-208 b,1,4.19097,0.04878,1.675,86.94,0.37,,,1122.0,5500.0,0.87,0.88,1049.1802
K2-21 b,1,9.32389,0.0699,1.25,,,10.0,,,4006.0,0.46,0.52,472.86832
K2-21 b,1,9.325038,0.076,1.84,88.98,0.1,10.0,,,4222.06,0.65,0.68,563.7583
K2-21 b,1,9.32414,0.0731,1.59,88.3,,11.0,,500.0,4043.0,0.6,0.64,531.7075
K2-21 c,1,15.50192,0.107,2.49,88.85,0.21,5.1,,,4222.06,0.65,0.68,474.58435
K2-21 c,1,15.5012,0.1026,1.92,89.08,,5.6,,420.0,4043.0,0.6,0.64,451.80972
K2-21 c,1,15.50116,0.098,1.53,,,5.09,,,4006.0,0.46,0.52,405.036
K2-211 b,1,0.669561,0.01419,1.332,84.1,0.19,,,1873.0,5117.0,0.82,0.85,1803.8463
K2-212 b,1,9.79551,0.0785,2.52,,,,,542.0,4272.0,0.65,0.67,558.51935
K2-214 b,1,8.596802,0.0834,2.43,,,,,1006.0,5854.0,1.27,1.05,1023.09845
K2-216 b,1,2.174782,0.0298,1.63,,,,,992.0,4658.0,0.69,0.74,1028.5817
K2-216 b,1,2.1748,0.028,1.75,86.9,0.0,248.0,5.0,1103.0,4503.0,0.72,0.7,1033.2773
K2-22 b,2,0.381078,0.009,4.75,77.48,0.19,737.9,,,3879.18,0.58,0.6,1340.3069
K2-22 b,2,1.143201,0.01604,3.0,,,114.0,,,3865.0,0.38,0.42,751.3618
K2-22 b,2,0.381078,0.0088,2.5,,,,,2100.0,3830.0,0.57,0.6,1328.0525
K2-220 b,1,13.683256,0.1104,2.39,,,,,758.0,5660.0,1.02,0.96,778.10254
K2-222 b,1,15.38857,0.1206,2.35,89.12,0.16,96.0,2.29,871.0,5942.0,1.11,0.99,809.89685
K2-222 b,1,15.387063,0.1211,2.39,,,,,801.0,6058.0,1.09,1.0,819.6821
K2-223 b,1,0.50565,0.0127,890.0,,,,,2271.0,5835.0,0.99,1.06,2271.5295
K2-223 c,1,4.56327,0.0549,1.57,,,,,1091.0,5835.0,0.99,1.06,1127.5312
K2-224 b,1,4.47904,0.0516,1.56,,,,,1002.0,5620.0,0.84,0.91,1020.668
K2-224 c,1,10.09489,0.0886,2.41,,,,,764.0,5620.0,0.84,0.91,783.723
K2-225 b,1,15.87209,0.134,3.49,,,,,902.0,5742.0,1.7,1.27,931.2661
K2-225 b,1,15.8723,0.1409,3.609,88.64,0.23,,,923.0,5520.0,1.7,1.48,919.19275
K2-226 b,1,3.27109,0.04095,1.539,87.6,0.22,,,1187.0,5288.0,0.89,0.86,1122.1748
K2-226 b,1,3.27108,0.0413,1.54,,,,,1120.0,5424.0,0.91,0.88,1158.3325
K2-228 b,1,2.69828,0.0338,1.21,,,,,914.0,4715.0,0.65,0.71,936.29034
K2-229 b,1,0.58426,0.0131,1.14,,,,,1818.0,5315.0,0.79,0.87,1937.071
K2-229 b,1,0.584249,0.012888,1.164,83.9,0.0,,,1960.0,5185.0,0.79,0.84,1903.138
K2-229 c,1,8.32727,0.0769,2.03,,,,,750.0,5315.0,0.79,0.87,773.5286
K2-229 c,1,8.32834,0.07577,2.12,87.94,0.0,,,800.0,5185.0,0.79,0.84,760.281
K2-230 b,1,2.86041,0.0409,1.96,,,,,1529.0,5945.0,1.39,1.11,1586.7743
K2-232 b,1,11.168454,0.10356,11.209,89.14,0.258,,33.42,1030.0,6154.0,1.16,1.19,940.17175
K2-232 b,1,11.168459,0.0991,11.859,89.61,0.255,,35.4,1001.0,5888.0,1.23,1.04,929.96826
K2-233 b,1,2.46746,0.03317,1.398,88.79,0.0,273.0,,1040.0,4950.0,0.74,0.8,1071.0028
K2-233 b,1,2.4675,0.03308,1.343,89.3,0.079,,6.27,1121.0,5033.0,0.71,0.79,1060.3875
K2-233 c,1,7.06142,0.06687,1.335,88.95,0.0,67.1,,728.0,4950.0,0.74,0.8,746.92053
K2-233 c,1,7.06005,0.06666,1.281,89.6,0.2002,,5.02,790.0,5033.0,0.71,0.79,742.8556
K2-233 d,1,24.3645,0.15224,2.358,89.6,0.1999,,5.45,523.0,5033.0,0.71,0.79,490.92117
K2-233 d,1,24.3662,0.1527,2.64,89.35,0.0,12.9,,482.0,4950.0,0.74,0.8,492.22617
K2-237 b,1,2.1805577,0.0353,18.405,84.6,0.0,,167.9,1838.0,6099.0,1.38,1.23,1797.6394
K2-237 b,1,2.18053332,0.03552,16.062,88.37,0.03,,184.0,1759.0,6180.0,1.24,1.26,1726.0054
K2-237 b,1,2.18053539,0.03558,16.197,88.03,0.042,1860.0,183.0,1828.0,6360.0,1.26,1.26,1768.8938
K2-237 b,1,2.18056,0.037,18.495,84.3,0.0,,210.0,1884.0,6257.0,1.43,1.28,1842.8181
K2-238 b,1,3.20466,0.046,14.572,84.5,0.0,,100.0,1587.0,5630.0,1.59,1.19,1557.7632
K2-239 b,1,5.24,0.0441,1.1,88.99,,,,502.0,3420.0,0.36,0.4,473.5099
K2-239 c,1,7.775,0.0576,1.0,88.77,,,,427.0,3420.0,0.36,0.4,427.5397
K2-239 d,1,10.115,0.0685,1.1,89.43,,,,399.0,3420.0,0.36,0.4,394.26532
K2-24 b,1,20.88508,0.1542,5.83,88.95,,60.1,,709.0,5743.0,1.21,1.12,728.08826
K2-24 b,1,20.88526,0.1577,7.07,,,87.0,,,5717.0,1.51,1.2,799.86536
K2-24 b,1,20.8851,0.154,5.68,89.25,0.0,60.0,4.5,767.0,5743.0,1.21,1.12,728.5809
K2-24 c,1,42.3633,0.247,7.82,89.76,0.0,24.0,4.6,606.0,5743.0,1.21,1.12,563.6266
K2-24 c,1,42.36342,0.2471,8.1,89.43,,23.4,,560.0,5743.0,1.21,1.12,563.5148
K2-24 c,1,42.36301,0.2527,9.8,,,34.2,,,5717.0,1.51,1.2,620.9037
K2-240 b,1,6.034,0.0513,2.0,89.26,,,,586.0,3810.0,0.54,0.58,569.5001
K2-240 c,1,20.523,0.1159,1.8,89.66,,,,389.0,3810.0,0.54,0.58,385.46237
K2-241 b,1,26.8199,0.1567,2.55,,,,,507.0,5262.0,0.75,0.71,514.0166
K2-242 b,1,6.51389,0.0494,2.54,,,,,416.0,3459.0,0.37,0.38,452.0389
K2-243 b,1,11.54182,0.1087,2.17,,,,,1035.0,6570.0,1.39,1.29,1067.4526
K2-243 c,1,24.94598,0.1817,2.01,,,,,801.0,6570.0,1.39,1.29,813.2484
K2-244 b,1,21.06884,0.1418,1.75,,,,,638.0,5677.0,0.92,0.86,646.59546
K2-245 b,1,11.89307,0.0959,4.34,,,,,923.0,5793.0,1.25,0.83,919.498
K2-246 b,1,5.76918,0.0602,3.49,,,,,977.0,5610.0,0.94,0.87,1002.82697
K2-247 b,1,2.25021,0.0304,2.12,,,,,979.0,4667.0,0.69,0.74,1018.3892
K2-247 c,1,6.49424,0.0615,2.19,,,,,688.0,4667.0,0.69,0.74,708.1915
K2-248 b,1,7.17256,0.0699,2.57,,,,,886.0,5528.0,0.92,0.88,907.70245
K2-249 b,1,12.409,0.1151,2.79,,,,,1061.0,6504.0,1.57,1.32,1087.62
K2-25 b,1,3.48456408,0.0287,3.44,87.16,0.428,9.91,27.9,494.0,3207.0,0.29,0.26,484.0806
