planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,Radial_Velocity_Amplitude,planet_temperature,star_temperature,star_radius,star_mass,Predicted Temperature
CoRoT-23 b,1,3.6313,0.048,11.77,85.7,0.16,,377.0,1660.0,5900.0,1.61,1.14,1547.886
CoRoT-23 b,1,3.6313,0.04809,13.227,84.7,,,377.0,1710.0,5900.0,1.74,1.12,1599.983
CoRoT-23 b,1,3.6313,0.0484,11.769,85.7,0.16,,378.0,,5900.0,1.61,1.14,1541.8647
CoRoT-24 b,1,5.1134,0.056,3.7,86.5,0.0,,2.1,1070.0,4950.0,0.86,0.91,901.77747
CoRoT-24 c,1,11.759,0.098,5.0,89.0,0.0,,8.3,850.0,4950.0,0.86,0.91,674.84436
CoRoT-25 b,1,4.86069,0.0578,12.11,84.5,0.0,,29.0,1330.0,6040.0,1.19,1.09,1250.5145
CoRoT-25 b,1,4.86069,0.05789,12.106,84.5,0.22,,33.5,,6040.0,1.19,1.09,1249.5286
CoRoT-26 b,1,4.20474,0.0526,14.12,86.8,0.0,,61.0,1600.0,5590.0,1.79,1.09,1467.9236
CoRoT-26 b,1,4.20474,0.0525,14.123,86.8,0.41,,66.0,,5590.0,1.79,1.09,1469.3556
CoRoT-27 b,1,3.57532,0.0467,11.287,86.7,0.034,,1324.0,,5900.0,1.08,1.05,1293.3972
CoRoT-27 b,1,3.57532,0.0476,11.287,86.7,0.065,,1326.0,1500.0,5900.0,1.08,1.05,1281.273
CoRoT-28 b,1,5.20851,0.059,10.705,88.1,0.071,,56.3,,5150.0,1.78,1.01,1260.5033
CoRoT-28 b,1,5.20851,0.0603,10.705,88.1,0.047,,56.4,,5150.0,1.78,1.01,1247.731
CoRoT-29 b,1,2.85057,0.039,10.088,87.3,0.12,,125.0,,5260.0,0.9,0.97,1193.0342
CoRoT-29 b,1,2.85057,0.0386,10.088,87.3,0.082,,125.0,,5260.0,0.9,0.97,1199.0896
CoRoT-3 b,1,4.2567994,0.0574,11.321,85.9,0.016,,2173.0,,6740.0,1.56,1.37,1651.9714
CoRoT-3 b,1,4.2567994,0.05783,11.624,85.8,,,2170.0,1695.0,6740.0,1.57,1.4,1665.9131
CoRoT-30 b,1,9.06005,0.0844,11.31,90.0,0.007,,283.0,,5650.0,0.91,0.98,844.595
CoRoT-31 b,1,4.62941,0.0586,16.365,83.2,0.02,,88.0,,5700.0,2.15,1.25,1563.8384
CoRoT-35 b,1,3.22748,0.0429,18.831,84.1,0.0,,150.0,1747.0,6390.0,1.65,1.01,1784.4429
CoRoT-36 b,1,5.616531,0.066,15.805,85.83,0.0,,65.0,1567.0,6730.0,1.52,1.32,1486.915
CoRoT-4 b,1,9.20205,0.09025,13.339,90.0,0.14,,62.4,,6190.0,1.17,1.16,1015.0664
CoRoT-4 b,1,9.20205,0.0912,13.002,89.96,,,63.0,1058.0,6190.0,1.15,1.19,1001.12964
CoRoT-4 b,1,9.20205,0.09,13.34,90.0,0.0,,63.0,1074.0,6190.0,1.17,1.16,1016.35376
CoRoT-5 b,1,4.0378962,0.05004,13.249,86.24,,,59.1,1348.0,6100.0,1.05,1.02,1257.0704
CoRoT-5 b,1,4.0378962,0.04947,15.558,85.83,0.09,,59.1,1438.0,6100.0,1.19,1.0,1351.2488
CoRoT-5 b,1,4.0378962,0.04963,15.558,85.83,0.087,,61.1,,6100.0,1.19,1.0,1349.0809
CoRoT-6 b,1,8.886593,0.0855,13.283,88.88,,,280.0,1025.0,6090.0,1.04,1.05,963.08716
CoRoT-6 b,1,8.886593,0.0854,13.07,89.07,0.18,,285.0,,6090.0,1.02,1.05,953.46375
CoRoT-6 b,1,8.886593,0.0855,13.068,89.07,0.1,,280.0,1017.0,6090.0,1.02,1.05,952.9539
CoRoT-7 b,1,0.853585,0.0172,1.68,80.1,,,,,5275.0,0.87,0.93,1744.0801
CoRoT-7 b,1,0.85359159,0.017016,1.585,80.78,0.0,,3.94,1756.0,5259.0,0.82,0.91,1694.7751
CoRoT-7 b,1,0.853585,0.0169,1.861,79.6,,,5.04,1910.0,5250.0,0.96,0.88,1807.4968
CoRoT-8 b,1,6.212381,0.06339,6.389,88.4,0.19,,27.6,,5080.0,0.77,0.88,804.22705
CoRoT-8 b,1,6.21229,0.063,6.39,88.4,0.0,,26.0,,5080.0,0.77,0.88,806.54584
CoRoT-8 b,1,6.21229,0.0633,7.981,87.44,,,26.0,922.0,5080.0,0.9,0.88,861.92554
CoRoT-9 b,2,95.2738,0.407,11.77,89.99,0.11,,38.0,,5625.0,0.94,0.99,376.3571
CoRoT-9 b,2,95.272656,0.4029,11.949,89.9,0.134,,39.0,,5625.0,0.96,0.96,384.624
CoRoT-9 b,2,95.2738,0.4027,11.624,89.97,,,38.0,413.0,5625.0,0.94,0.96,378.66455
CoRoT-9 b,2,95.272656,0.4021,11.949,89.9,0.133,,39.0,420.0,5625.0,0.96,0.96,385.15268
CoRoTID 223977153 b,1,6.71837,0.071,6.389,89.0,,132.26,14.0,938.0,5970.0,0.79,1.08,887.80585
EPIC 201170410.02,1,6.7987,0.0349,1.047,89.002,0.0,,,,3648.0,0.28,0.29,473.74844
EPIC 201595106 b,1,0.87724,0.0177,1.565,78.2,0.0,2852.0,5.19,2038.0,5679.0,0.98,0.96,1951.1667
EPIC 201757695.02,1,2.0478,0.0296,908.0,89.276,0.0,,,,4520.0,0.66,0.73,953.1849
EPIC 201841433 b,1,4.1698,0.035,1.04,89.001,,,,,5053.0,0.63,0.8,978.45197
EPIC 211822797 b,1,21.169861,0.131,1.98,89.73,0.06,3.5,,,4148.21,0.57,0.66,397.8024
EPIC 211822797 b,1,21.1701963,0.1195,1.92,,,,,431.0,4057.0,0.58,0.62,406.30978
EPIC 211945201 b,1,19.49221,0.1493,5.76,,,,,817.0,6069.0,1.39,1.17,828.4446
EPIC 211945201 b,1,19.49213,0.148,6.12,87.9,0.0,,5.7,886.0,6025.0,1.38,1.18,825.4953
EPIC 212737443 b,1,13.603,0.098,2.586,89.071,0.2,,,536.0,4684.0,0.67,0.69,547.8641
EPIC 212737443 c,1,65.55,0.28,2.69,89.63,0.2,,,316.0,4684.0,0.67,0.69,316.78067
EPIC 220674823 b,1,0.571331,0.0134,1.82,,,,,2119.0,5617.0,0.98,0.97,2211.124
EPIC 220674823 b,1,0.5713127,0.01314,1.676,85.2,0.0,4656.0,6.36,2299.0,5578.0,0.99,0.91,2238.3965
EPIC 220674823 b,1,0.571292,0.01326,1.725,86.4,0.0,4670.0,6.5,2300.0,5532.0,0.99,0.95,2192.811
EPIC 220674823 b,1,0.571292,0.0116,1.52,86.4,0.0,,6.67,2333.0,5470.0,0.87,0.94,2169.409
EPIC 220674823 b,1,0.571336,0.01312,1.82,80.2,,4293.0,7.2,2063.0,5496.0,0.95,0.92,2160.933
EPIC 220674823 c,1,13.3397,0.105,2.5,89.35,0.18,,1.67,774.0,5470.0,0.87,0.94,714.44543
EPIC 220674823 c,1,13.339079,0.1091,2.73,,,,,741.0,5617.0,0.98,0.97,763.24133
EPIC 220674823 c,1,13.3397,0.1083,2.836,89.35,0.13,70.0,2.48,805.0,5532.0,0.99,0.95,756.3948
EPIC 220674823 c,1,13.3387,0.1071,2.77,89.0,,64.0,1.6,722.0,5496.0,0.95,0.92,738.8377
EPIC 220674823 c,1,13.33989,0.1073,2.84,88.62,0.17,70.0,2.14,804.0,5578.0,0.99,0.91,763.3955
EPIC 229004835 b,1,16.141132,0.1237,2.332,88.08,0.23,69.7,2.76,804.0,5868.0,1.0,0.97,753.08325
EPIC 246851721 b,2,6.180235,0.07229,11.781,86.21,,642.0,270.0,1401.0,6202.0,1.59,1.32,1368.8606
EPIC 248847494 b,1,3650.0,4.5,12.442,89.87,0.0,0.19,,183.0,4898.0,2.7,0.9,-204.11752
EPIC 249893012 b,1,3.5951,0.047,1.95,86.14,0.06,1037.0,3.55,1616.0,5430.0,1.71,1.05,1473.9875
EPIC 249893012 c,1,15.624,0.13,3.67,87.94,0.07,160.0,3.66,990.0,5430.0,1.71,1.05,881.72644
EPIC 249893012 d,1,35.747,0.22,3.94,89.47,0.15,53.0,1.97,752.0,5430.0,1.71,1.05,667.76855
