,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
1145,HD 87883 b,,5.36602,Mass,3309.221176,0.706593,25.446,105.1981056,0.81,0.08925,8.7,1,1
1146,HD 88072 b,,8.07325,Mass,18538.79293,0.156013,169.626,,1.04,,,1,1
1147,HD 88133 b,,0.2845,Msini,3.414884,0.031,15,1709.381929,1.26,0.322,5.37,1,1
1148,HD 89307 b,,2.11,Msini,2166,0.2,,156.7863725,1.27,-0.13,4.535,1,1
1149,HD 89345 b,0.66,0.11,Mass,11.8143,0.22,87.21,1089,1.16,0.421,7.53,1,1
1150,HD 89744 b,,8.35,Msini,256.78,0.677,,,1.86,0.242,,2,1
1151,HD 90156 b,,0.057,Msini,49.77,0.31,,519.4792705,0.84,-0.24,4.4,1,1
1152,HD 9174 b,,1.11,Msini,1179,0.12,,233.9888097,1.03,0.39,9,1,1
1153,HD 92788 b,,3.76,Msini,325.803,0.35,,297.1610397,1.15,0.27,2.55,1,2
1154,HD 92788 c,,3.67,Msini,11611.2975,0.46,,91.26815573,1.15,0.27,2.55,1,2
1155,HD 93083 b,,,,143.58,0.14,,,0.7,0.15,,1,1
1156,HD 93351 b,,0.01113,Msini,2.45946479,-0.129287,,,0.94,,,1,2
1157,HD 93351 c,,13.31055,Mass,14010.2941,0.108765,14.636,,0.94,,,1,2
1158,HD 93385 b,,0.01321,Msini,7.3426,,,,1.04,0.02,3.3,1,3
1159,HD 93385 c,,0.02234,Msini,13.18,,,,1.04,0.02,3.3,1,3
1160,HD 93385 d,,0.02737,Msini,45.85,0.09,,,1.04,0.02,3.3,1,3
1161,HD 93963 A b,0.12,0.02454,Mass,1.0391353,,86.21,2042,1.11,0.1,1.4,2,2
1162,HD 93963 A c,0.288,0.06041,Mass,3.6451398,,86.31,1344,1.11,0.1,1.4,2,2
1163,HD 9446 b,,0.7,Msini,30.052,0.2,,642.2331949,1,0.09,,1,2
1164,HD 9446 c,,1.82,Msini,192.9,0.06,,345.5729973,1,0.09,,1,2
1165,HD 94834 b,,1.26,Msini,1576,0.14,,286.2151832,1.11,,,1,1
1166,HD 95086 b,,5,Mass,,,,1000,1.6,,0.017,1,1
1167,HD 95089 b,,1.26,Msini,464.4,0.119,,458.9106178,1.54,0.05,2.5,1,2
1168,HD 95089 c,,3.45,Msini,1785,0.284,,293.0901349,1.54,,,1,2
1169,HD 95127 b,,10.63,Msini,482,0.11,,823.4864748,3.7,-0.18,5.5,1,1
1170,HD 95338 b,0.347,0.13353,Mass,55.087,0.197,89.57,385,0.83,0.04,5.08,1,1
