,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
0,11 Com b,,19.4,Msini,326.03,0.231,,,2.7,-0.35,,2,1
1,11 UMi b,,14.74,Msini,516.21997,0.08,,804.2200825,2.78,-0.02,1.56,1,1
2,14 And b,,3.2,Msini,185.84,,,845.4262062,2.2,-0.24,,1,1
3,14 Her b,,8.13881,Mass,1765.038901,0.372689,144.652,151.6668315,0.91,0.415,3.9,1,2
4,16 Cyg B b,,1.78,Msini,798.5,0.68,,,1.08,0.06,,3,1
5,17 Sco b,,4.32,Msini,578.38,0.06,,846.9936277,1.22,-0.01,5.13,1,1
6,18 Del b,,9.84,Msini,993.3,0.08,,,2.3,-0.052,,2,1
7,1RXS J160929.1-210524 b,,8,Mass,,,,1700,0.85,,0.005,1,1
8,24 Boo b,,0.91,Msini,30.3506,0.042,,1766.572305,0.99,-0.77,6.92,1,1
9,24 Sex b,,1.99,Msini,452.8,0.09,,471.3635097,1.54,-0.03,2.7,1,2
10,24 Sex c,,0.86,Msini,883,0.29,,377.2864405,1.54,-0.03,2.7,1,2
11,2M0437 b,,4,Mass,,,,1450,0.17,0.01,2.5,1,1
12,2MASS J01033563-5515561 AB b,,13,Mass,,,,,0.19,,0.03,2,1
13,2MASS J01225093-2439505 b,,24.5,Mass,,,,1600,0.4,,0.12,1,1
14,2MASS J02192210-3925225 b,1.44,13.9,Mass,,,,,0.11,,0.035,1,1
15,2MASS J04414489+2301513 b,,7.5,Mass,,,,,0.02,,0.001,1,1
16,2MASS J12073346-3932539 b,,5,Mass,,,,1250,0.02,,0.008,1,1
17,2MASS J19383260+4603591 b,,1.86,Msini,406,0.33,,,0.48,,,2,3
18,2MASS J22362452+4751425 b,,12.5,Mass,,,,,0.6,,0.12,1,1
19,30 Ari B b,,13.82,Msini,335.10001,0.29,,,1.93,0.19,0.91,4,1
20,4 UMa b,,7.1,Msini,269.3,0.432,,968.8145308,1.23,-0.25,4.604,1,1
21,42 Dra b,,3.88,Msini,479.1,0.38,,,0.98,-0.46,9.49,2,1
22,47 UMa b,,2.53,Msini,1078,0.032,,211.50358,1.06,0.04,,1,3
23,47 UMa c,,0.54,Msini,2391,0.098,,161.8902523,1.06,0.04,,1,3
24,47 UMa d,,1.64,Msini,14002,0.16,,89.81534328,1.06,0.04,,1,3
25,51 Eri b,,,,13326.5,0.33,135.5,,1.75,-0.027,0.02,3,1
26,51 Peg b,,0.472,Msini,4.230785,0.013,80,1350.097141,1.03,0.18,10,1,1
27,55 Cnc b,,0.8036,Msini,14.6516,0,89.73,,0.91,0.35,5.25,2,5
28,55 Cnc c,,0.1611,Msini,44.3989,0.03,89.73,,0.91,0.35,,2,5
29,55 Cnc d,,3.12,Msini,5574.2,0.13,89.73,,0.91,0.35,5.5,2,5
30,55 Cnc e,0.167,0.02514,Mass,0.7365474,0.05,83.59,1958,0.91,0.35,,2,5
31,55 Cnc f,,0.1503,Msini,259.88,0.08,89.73,,0.91,0.35,,2,5
32,6 Lyn b,,2.01,Msini,934.3,0.073,,375.1163638,1.44,-0.13,,1,1
33,61 Vir b,,0.016,Msini,4.215,0.12,,1200.251485,0.94,-0.01,8.96,1,3
34,61 Vir c,,0.057,Msini,38.021,0.14,,576.5853453,0.94,-0.01,8.96,1,3
35,61 Vir d,,0.072,Msini,123.01,0.35,,382.6324746,0.94,-0.01,8.96,1,3
36,7 CMa b,,2.53,Msini,735.1,0.06,,350.648712,1.34,0.21,4.3,1,2
37,7 CMa c,,,,996,0.08,,350.0753779,1.34,0.21,4.3,1,2
38,70 Vir b,,7.416,Msini,116.688,0.3988,,526.6137694,1.09,-0.0505,7.885,1,1
39,75 Cet b,,,,691.9,0.117,,,2.49,0,,2,1
40,8 UMi b,,1.31,Msini,93.4,0.06,,1101.258482,1.44,-0.03,1.7,1,1
41,81 Cet b,,4.01,Msini,952.7,0.206,,480.4387591,2.4,-0.06,,1,1
42,91 Aqr b,,,,181.4,0.027,,,1.4,-0.03,3.56,3,1
43,AB Aur b,,,,,0.4,42.6,,2.4,,0.003,1,1
44,AB Pic b,,13.5,Mass,,,,,,,0.03,1,1
45,AU Mic b,0.36775,0.0633,Mass,8.4629991,0.186,89.39333333,593,0.5,,0.022,1,2
46,AU Mic c,0.269,0.0302,Mass,18.858991,0.0855,89.195,454,0.5,,0.022,1,2
47,BD+03 2562 b,,6.4,Msini,481.9,0.2,,1001.847484,1.14,-0.71,5.2,1,1
48,BD+14 4559 b,,1.04,Msini,268.94,0.29,,282.3982326,0.49,0.17,,1,1
49,BD+15 2375 b,,1.061,Msini,153.22,0.001,,884.4547782,1.08,-0.22,7.41,1,1
50,BD+15 2940 b,,,,137.48,0.26,,1208.6658,1.1,0.28,7.1,1,1
51,BD+20 2457 b,,55.59,Msini,379.63,0.15,,1040.74183,10.83,-0.79,,1,2
52,BD+20 2457 c,,,,621.99,0.18,,984.9399855,2.8,-1,,1,2
53,BD+20 274 b,,,,578.2,0.21,,767.290777,0.8,-0.46,,1,1
54,BD+20 594 b,0.23,0.07,Mass,41.6855,,89.55,546,1.67,-0.15,3.34,1,1
55,BD+45 564 b,,1.36,Msini,307.88,0.12,,,0.81,-0.09,,1,1
56,BD+48 738 b,,,,392.6,0.2,,724.5810421,0.74,-0.2,,1,1
57,BD+48 740 b,,1.7,Msini,733,0.76,,549.1271912,1.09,-0.13,,1,1
58,BD+49 828 b,,1.6,Msini,2590,0.35,,318.9607431,1.52,-0.19,2.34,1,1
59,BD+55 362 b,,0.72,Msini,265.59,0.27,,,0.91,0.18,,1,1
60,BD+60 1417 b,1.31,15,Mass,,,,1303,1,,0.1,1,1
61,BD+63 1405 b,,3.96,Msini,1198.48,0.88,,,0.82,-0.09,,1,1
62,BD-00 4475 b,,25.05,Msini,723.2,0.39,,,0.81,-0.14,,1,1
63,BD-06 1339 b,,0.027,Msini,3.8728,,,,0.7,-0.14,4.4,1,2
64,BD-06 1339 c,,0.17,Msini,125.94,0.31,,,0.7,-0.14,4.4,1,2
65,BD-08 2823 b,,0.04,Msini,5.6,0.15,,877.6821292,0.5,-0.06,4.5,1,2
66,BD-08 2823 c,,0.33,Msini,237.6,0.19,,,0.74,-0.07,4.5,1,2
67,BD-10 3166 b,,0.59,Msini,3.48777,0.02,,1114.307045,1.47,0.38,,1,1
68,BD-11 4672 b,,0.65,Msini,1634,0.05,,108.0542821,0.65,-0.35,7.4,1,2
69,BD-11 4672 c,,0.04836,Msini,74.2,0.4,,320.7954524,0.65,-0.35,7.4,1,2
70,BD-13 2130 b,,9.78,Msini,714.29999,0.21,,676.9798876,2.12,-0.08,0.74,1,1
71,BD-17 63 b,,5.1,Msini,655.6,0.54,,165.4277286,0.74,-0.03,4.3,1,1
72,CD Cet b,,0.01243,Msini,2.2907,,,464,0.16,0.13,3,1,1
73,CFBDSIR J145829+101343 b,,10.5,Mass,10037.5,,,370,0.02,,,1,1
74,CFHTWIR-Oph 98 b,1.86,7.8,Mass,8040000,,,1800,0.01,,0.003,1,1
75,CHXR 73 b,,12.569,Mass,,,,,0.35,,0.002,1,1
76,CI Tau b,,11.6,Mass,8.9891,0.25,50.5,,0.9,,0.003,1,1
77,COCONUTS-2 b,1.11,6.3,Mass,402000000,,,434,0.37,0,0.475,1,1
78,CT Cha b,2.2,17,Mass,,,,2600,,,0.002,1,1
79,CoRoT-1 b,1.49,1.03,Mass,1.5089557,0.071,85.1,1898,0.95,-0.3,4.7,1,1
80,CoRoT-10 b,0.97,2.75,Mass,13.2406,0.53,88.55,600,0.89,0.26,1.55,1,1
81,CoRoT-11 b,1.43,2.33,Mass,2.99433,,83.17,1657,1.27,-0.03,2,1,1
82,CoRoT-12 b,1.44,0.917,Mass,2.828042,0.07,85.48,1442,1.08,0.16,6.3,1,1
83,CoRoT-13 b,0.885,1.308,Mass,4.03519,,88.02,1432,1.09,0.01,1.635,1,1
84,CoRoT-14 b,1.09,7.6,Mass,1.51214,,79.6,1952,1.13,0.05,4.2,1,1
85,CoRoT-16 b,1.17,0.535,Mass,5.35227,0.33,85.01,1195.338269,1.1,0.19,6.73,1,1
86,CoRoT-17 b,1.02,2.43,Mass,3.7681,,88.34,1626,1.04,0,10.7,1,1
87,CoRoT-18 b,1.31,3.47,Mass,1.9000693,,86.5,1550,0.95,-0.1,0.316,1,1
88,CoRoT-19 b,1.29,1.11,Mass,3.89713,0.047,88,2000,1.21,-0.02,5,1,1
89,CoRoT-2 b,1.466,3.47,Mass,1.7429935,0.0143,88.08,1534.666667,0.96,0.002857143,2.7,2,1
90,CoRoT-20 b,1.0428,4.3,Mass,9.24285,0.59,88.21,1042,1.14,0.14,2.525,1,2
91,CoRoT-20 c,,17,Msini,1675,0.6,,,1.14,,,1,2
92,CoRoT-21 b,1.3,2.26,Mass,2.72474,,86.8,2047.777192,1.29,0,4.1,1,1
93,CoRoT-22 b,0.435,0.038,Mass,9.75598,0.077,89.749,885,1.1,0.17,3.3,1,1
94,CoRoT-23 b,1.05,2.8,Mass,3.6313,0.16,85.7,1710,1.14,0.05,7.2,1,1
95,CoRoT-24 b,0.33,,,5.1134,,86.5,1070,0.91,0.3,11,1,2
96,CoRoT-24 c,0.44,0.088,Mass,11.759,,89,850,0.91,0.3,11,1,2
97,CoRoT-25 b,1.08,0.27,Mass,4.86069,,84.5,1330,1.09,-0.01,4.5,1,1
98,CoRoT-26 b,1.26,0.52,Mass,4.20474,,86.8,1600,1.09,0.01,8.6,1,1
99,CoRoT-27 b,1.007,10.39,Mass,3.57532,,86.7,1500,1.05,-0.1,4.21,1,1
100,CoRoT-28 b,0.955,0.484,Mass,5.20851,0.047,88.1,1363.97428,1.01,0.15,12,1,1
101,CoRoT-29 b,0.9,0.85,Mass,2.85057,0.082,87.3,1259.841667,0.97,0.2,4.5,1,1
102,CoRoT-3 b,1.01,21.66,Mass,4.2568,0.008,85.9,1695,1.37,0.033333333,2.2,1,1
103,CoRoT-30 b,1.009,2.9,Mass,9.06005,0.007,90,894.1319501,0.98,0.02,3,1,1
104,CoRoT-31 b,1.46,0.84,Mass,4.62941,0.02,83.2,1665.383339,1.25,0,4.7,1,1
105,CoRoT-35 b,1.68,1.1,Mass,3.22748,,84.1,1747,1.01,-0.5,6.1,1,1
106,CoRoT-36 b,1.41,,,5.616531,,85.83,1567,1.32,-0.1,2.1,1,1
107,CoRoT-4 b,1.19,0.72,Mass,9.20205,0,89.96,1074,1.16,0.05,1,1,1
108,CoRoT-5 b,1.388,0.467,Mass,4.0378962,0.09,85.83,1438,1,-0.25,6.9,1,1
109,CoRoT-6 b,1.166,2.96,Mass,8.886593,,89.07,1017,1.05,-0.2,2.5,1,1
110,CoRoT-7 b,0.15,0.01283,Mass,0.85359163,0.12,80.1,1833,0.82,0.05,1.623333333,1,3
111,CoRoT-7 c,,0.02643,Mass,3.698,0.12,,1105.240831,0.9,0.06,1.8,1,3
112,CoRoT-7 d,,0.05393,Mass,8.966,,,,0.92,,1.8,1,3
113,CoRoT-8 b,0.57,0.22,Mass,6.21229,,88.4,896,0.88,0.3,2.35,1,1
114,CoRoT-9 b,1.066,0.84,Mass,95.272656,0.133,89.9,420,0.96,-0.01,6,2,1
115,CoRoTID 223977153 b,0.57,0.15,Mass,6.71837,,89,938,1.08,0,,1,1
116,DE CVn b,,,,4098.1,,,,0.51,,,2,1
117,DENIS-P J082303.1-491201 b,,28.5,Mass,246.36,0.345,56.6,,0.07,,1,1,1
118,DH Tau b,2.7,11,Mass,,,,,0.33,,0.001,1,1
119,DMPP-1 b,,0.07636,Msini,18.57,,,876.9513466,1.21,,2.01,1,4
120,DMPP-1 c,,0.0302,Msini,6.584,,,1239.032961,1.21,,2.01,1,4
121,DMPP-1 d,,0.01054,Msini,2.882,,,1631.854656,1.21,,2.01,1,4
122,DMPP-1 e,,0.01299,Msini,5.516,,,1314.330889,1.21,,2.01,1,4
123,DMPP-2 b,,0.437,Msini,5.2072,,,1622.838131,1.44,,2,1,1
124,DMPP-3 A b,,0.00812,Msini,6.6732,0.14,,,0.87,0.18,10.9,2,1
125,DP Leo b,,6.05,Msini,10220,0.39,,,0.69,,,2,1
126,DS Tuc A b,0.509,,,8.138268,,89.5,,1.01,0,0.045,2,1
127,EPIC 201170410.02,0.093,,,6.7987,,89.002,431.6905751,0.29,-0.048,,1,1
128,EPIC 201238110 b,0.167,,,28.1656,,,,0.41,,,1,1
129,EPIC 201427007 b,0.134,,,0.72091,,88.5,,,-0.053,,1,1
130,EPIC 201497682 b,0.062,,,2.13174,,,,0.78,,,1,1
131,EPIC 201595106 b,0.116,,,0.877214,,89.2,1874,1.02,-0.01,,1,1
132,EPIC 201615463 c,0.109,,,3.80464,,,,1.07,,,1,2
133,EPIC 201754305 d,0.092,,,2.71578,,,,0.67,,,1,3
134,EPIC 201757695.02,0.081,,,2.0478,,89.276,1050.36706,0.73,-0.003,,1,1
135,EPIC 201833600 c,0.089,,,3.96151,,,,0.61,,,1,2
136,EPIC 201841433 b,0.093,,,4.1698,,89.001,891.4148145,0.8,0,,1,1
137,EPIC 205950854 c,0.117,,,8.050722,,89.81,961,0.88,,,1,2
138,EPIC 206024342 b,0.152,,,4.50756,,,,0.93,,,1,3
139,EPIC 206024342 c,0.125,,,0.911724,,91.7,,,-0.22,,1,3
140,EPIC 206024342 d,0.232,,,14.647531,,90,,,-0.22,,1,3
141,EPIC 206032309 b,0.09,,,2.87814,,,,0.22,,,1,1
142,EPIC 206042996 b,0.152,,,5.2986,,90.5,685.2318138,0.56,0.006,,1,2
143,EPIC 206042996 c,0.107,,,0.354884,,89.9,,,0.006,,1,2
144,EPIC 206215704 b,0.089,,,2.255436,,89.9,559.7653295,0.41,-0.33,,1,1
145,EPIC 206317286 b,0.086,,,1.58252,,,,0.71,,,1,2
146,EPIC 206317286 c,0.187,,,17.515472,,,551.8642834,0.83,0.019,,1,2
147,EPIC 211822797 b,0.171,,,21.1701963,0.12,89.615,431,0.62,0.2,0.79,1,1
148,EPIC 211945201 b,0.514,0.08495,Mass,19.49221,,88.6165,817,1.17,0.1,3.99,1,1
149,EPIC 212297394 b,0.132,,,2.289363,,,1149,0.83,-0.03,,1,2
150,EPIC 212297394 c,0.203,,,5.213965,,,866,0.83,-0.03,,1,2
151,EPIC 212424622 b,0.194,,,18.0983,,,,1.11,,,1,1
152,EPIC 212499991 b,0.143,,,34.885,,,,0.91,,,1,1
153,EPIC 212587672 b,0.112,,,15.28078,,,756,0.99,-0.18,,1,2
154,EPIC 212587672 c,0.207,,,23.228555,,89.421,658,0.99,-0.18,,1,2
155,EPIC 212624936 b,0.107,,,0.578657,,90.3,,,-0.39,,1,2
156,EPIC 212624936 c,0.205,,,11.811437,,90,,,-0.39,,1,2
157,EPIC 212737443 b,0.231,,,13.603,0.2,89.071,536,0.69,-0.137,,1,2
158,EPIC 212737443 c,0.24,,,65.55,0.2,89.63,316,0.69,-0.137,,1,2
159,EPIC 220492298 b,0.088,,,0.762406,,92.6,,,0.28,,1,1
160,EPIC 220554210 c,0.143,,,0.70531,,91.3,2156.746532,0.94,-0.23,,1,2
161,EPIC 220674823 b,0.143,0.026303333,Mass,0.571212,,89.7,2171.666667,0.938333333,0.01,5,1,2
162,EPIC 220674823 c,0.196,0.01809,Mass,13.334615,0.18,90.2,745.6666667,0.946,0.01,5,1,2
163,EPIC 228836835 b,0.098,,,0.728113,,89.7,932,0.42,-0.18,,1,1
164,EPIC 246851721 b,1.051,3,Mass,6.180235,,86.21,1401,1.32,0.141,3.02,2,1
165,EPIC 248847494 b,1.11,,,3650,,89.87,183,0.9,-0.23,,1,1
166,EPIC 249893012 b,0.174,0.02753,Mass,3.5951,0.06,86.14,1616,1.05,0.2,9,1,3
167,EPIC 249893012 c,0.327,0.04616,Mass,15.624,0.07,87.94,990,1.05,0.2,9,1,3
168,EPIC 249893012 d,0.352,0.03203,Mass,35.747,0.15,89.47,752,1.05,0.2,9,1,3
169,FU Tau b,,,,,,,,0.05,,0.001,1,1
170,G 264-012 b,,0.00787,Msini,2.30538,,,587,0.3,0.1,,1,2
171,G 264-012 c,,0.0118,Msini,8.0518,,,387,0.3,0.1,,1,2
172,G 9-40 b,0.181,,,5.746007,,88.57,456,0.29,0.04,9.9,1,1
173,GJ 1002 b,,0.0034,Msini,10.3465,,,231,0.12,-0.25,,1,2
174,GJ 1002 c,,0.00428,Msini,21.202,,,182,0.12,-0.25,,1,2
175,GJ 1061 b,,0.00431,Msini,3.204,,,393.2264677,0.12,-0.08,,1,3
176,GJ 1061 c,,0.00547,Msini,6.689,,,307.6709642,0.12,-0.08,,1,3
177,GJ 1061 d,,0.00516,Msini,13.031,,,246.3472185,0.12,-0.08,,1,3
178,GJ 1132 b,0.101,0.00522,Mass,1.628931,,86.58,529,0.18,-0.12,,1,2
179,GJ 1132 c,,0.00831,Msini,8.929,,,300,0.18,,,1,2
180,GJ 1148 b,,0.30425,Msini,41.38,0.38,,238.0233923,0.34,0.16,,1,2
181,GJ 1148 c,,0.21414,Msini,532.58,0.342,,102.1618842,0.34,0.16,,1,2
182,GJ 1151 c,,0.03341,Msini,389.7,,,89.12378956,0.16,-0.12,,1,1
183,GJ 1214 b,0.245,0.02571,Mass,1.58040433,,88.7,596,0.18,0.29,,1,1
184,GJ 1252 b,0.105,0.00415,Mass,0.5182416,,84.8,1089,0.38,0.1,3.9,1,1
185,GJ 1265 b,,0.02328,Msini,3.6511,0.04,,420.1899561,0.18,-0.04,,1,1
186,GJ 143 b,0.233,0.07142,Mass,35.61253,0.188,89.33,422,0.73,0.003,3.8,1,2
187,GJ 15 A b,,0.00953,Msini,11.4407,0.094,,,0.38,-0.34,,2,2
188,GJ 15 A c,,0.11327,Msini,7600,0.27,,,0.38,-0.34,,2,2
189,GJ 160.2 b,,0.03209,Msini,5.2354,0.06,,,0.69,,,1,1
190,GJ 163 b,,0.03335,Msini,8.63182,0.073,,,,,,1,3
191,GJ 163 c,,0.0214,Msini,25.63058,0.099,,,,,,1,3
192,GJ 163 d,,0.0925,Msini,603.95116,0.373,,,,,,1,3
193,GJ 179 b,,0.82,Msini,2288,0.21,,64.82612918,0.36,0.3,,1,1
194,GJ 180 b,,0.02042,Msini,17.133,0.07,,,0.43,,,1,3
195,GJ 180 c,,0.02014,Msini,24.329,0.09,,,0.43,,,1,3
196,GJ 180 d,,0.02379,Msini,106.3,0.14,,,0.43,,,1,3
197,GJ 2030 b,,0.01445,Msini,2.38128933,0.239302,,,0.96,,,1,2
198,GJ 2030 c,,12.79888,Mass,25533.11353,0.040554,16.999,,0.96,,,1,2
199,GJ 2056 b,,0.05097,Msini,69.971,0.72,,,0.62,,,1,1
200,GJ 229 A c,,0.02698,Msini,121.932676,0.365639,,,0.51,,,2,2
201,GJ 229 b,,0.04672,Msini,579.4749467,0.403522,,,0.51,,,2,2
202,GJ 251 b,,0.01259,Msini,14.238,0.1,,351,0.36,-0.03,,1,1
203,GJ 27.1 b,,0.0409,Msini,15.819,0.08,,,0.53,,,1,1
204,GJ 273 b,,0.00909,Msini,18.6498,0.1,,290.9568303,0.29,0.09,,1,2
205,GJ 273 c,,0.00371,Msini,4.7234,0.17,,459.8699603,0.29,0.09,,1,2
206,GJ 3021 b,,3.37,Msini,133.71,0.511,,350,0.9,0.1,,2,1
207,GJ 3082 b,,0.0258,Msini,11.949,0.22,,,0.47,,,1,1
208,GJ 3090 b,0.19,0.01051,Mass,2.853136,,87.14,693,0.52,-0.06,,1,1
209,GJ 3138 b,,0.0056,Msini,1.22003,0.19,,904.0995542,0.68,-0.3,,1,3
210,GJ 3138 c,,0.01315,Msini,5.974,0.11,,532.4163114,0.68,-0.3,,1,3
211,GJ 3138 d,,0.03304,Msini,257.8,0.32,,151.7908015,0.68,-0.3,,1,3
212,GJ 317 b,,1.75282,Msini,695.66,0.07,45,103.2075342,0.42,0.143666667,5,1,2
213,GJ 317 c,,1.64396,Msini,6739.323,0.17,,48.4140769,0.42,0.3305,5,1,2
214,GJ 3222 b,,0.03694,Msini,10.6666864,0.929006,,,0.89,,,1,1
215,GJ 328 b,,2.3,Msini,4100,0.37,,,0.69,0,,1,1
216,GJ 3293 b,,0.07406,Msini,30.5987,0.06,,279.1448979,0.42,0.02,,1,4
217,GJ 3293 c,,0.06636,Msini,122.6196,0.11,,175.7427379,0.42,0.02,,1,4
218,GJ 3293 d,,0.02391,Msini,48.1345,0.12,,240.0187656,0.42,0.02,,1,4
219,GJ 3293 e,,0.01032,Msini,13.2543,0.21,,368.9309477,0.42,0.02,,1,4
220,GJ 3323 b,,0.00636,Msini,5.3636,0.23,,292.4478761,0.16,-0.27,,1,2
221,GJ 3323 c,,0.00727,Msini,40.54,0.17,,149.018213,0.16,-0.27,,1,2
222,GJ 3341 b,,0.0208,Msini,14.207,0.31,,377.4898021,0.47,-0.09,,1,1
223,GJ 338 B b,,0.03335,Msini,24.422,0.109,,391,0.64,-0.03,4,2,1
224,GJ 3470 b,0.408,0.04373,Mass,3.3366496,0.0655,89.13,594,0.54,0.2,1.933333333,1,1
225,GJ 3473 b,0.113,0.00585,Mass,1.1980035,,87.95,773,0.36,0.11,,2,2
226,GJ 3473 c,,0.02331,Msini,15.509,,,329,0.36,0.11,,2,2
227,GJ 3512 b,,0.46,Msini,203.69,0.44,,96.15737958,0.12,-0.07,5.5,1,2
228,GJ 3512 c,,0.2,Msini,1599.6,0.0183,,48.37660541,0.12,-0.07,5.5,1,2
229,GJ 357 b,0.109,0.00579,Mass,3.93072,,89.12,525,0.34,-0.12,,1,3
230,GJ 357 c,,0.0107,Msini,9.1247,,,401,0.34,-0.12,,1,3
231,GJ 357 d,,0.01919,Msini,55.661,,,220,0.34,-0.12,,1,3
232,GJ 3634 b,,0.026,Mass,2.64561,0.08,59,,0.45,,5,1,1
233,GJ 367 b,0.064,0.00172,Mass,0.321962,,80.75,1745,0.45,-0.01,,1,1
234,GJ 3779 b,,0.02517,Msini,3.0232,0.07,,521.5197875,0.27,0,,1,1
235,GJ 3929 b,0.097,0.00551,Mass,2.616235,,88.442,568,0.31,-0.02,7.1,1,2
236,GJ 3929 c,,0.01797,Msini,15.04,,,317,0.31,-0.02,7.1,1,2
237,GJ 393 b,,0.00538,Msini,7.02679,,,485,0.43,-0.09,,1,1
238,GJ 3942 b,,0.02246,Msini,6.905,0.121,,590.4386578,0.63,-0.04,,1,1
239,GJ 3998 b,,0.00777,Msini,2.64977,,,728.4342582,0.5,-0.16,,1,2
240,GJ 3998 c,,0.0197,Msini,13.74,0.049,,420.8534042,0.5,-0.16,,1,2
241,GJ 411 b,,0.00846,Msini,12.9394,0.063,,370,0.39,-0.362,8.047,1,2
242,GJ 414 A b,0.235,0.02391,Msini,50.8,0.45,,309,0.65,0.24,12.4,2,2
243,GJ 414 A c,0.749,0.16937,Msini,749.83,0.105,,125,0.65,0.24,12.4,2,2
244,GJ 422 b,,0.03483,Msini,20.129,0.11,,,0.35,,,1,1
245,GJ 4276 b,,0.05213,Msini,13.352,0.37,,365.5735125,0.41,0.12,6.9,1,1
246,GJ 433 b,,0.01901,Msini,7.3705,0.04,,496.9244006,0.48,-0.195,,1,3
247,GJ 433 c,,0.10201,Msini,5094.105,0.12,,,0.48,,,1,3
248,GJ 433 d,,0.01643,Msini,36.059,0.07,,,0.48,,,1,3
249,GJ 436 b,0.372,0.07,Mass,2.64388312,0.13827,86.44,668,0.47,-0.0181,6,1,1
250,GJ 480 b,,0.04153,Msini,9.567,0.1,,,0.45,,,1,1
251,GJ 486 b,0.116,0.00887,Mass,1.467119,,88.4,701,0.32,0.07,,1,1
252,GJ 504 b,,4,Mass,,,,510,1.22,0.28,0.16,1,1
253,GJ 514 b,,0.01636,Msini,140.43,0.45,,202,0.51,-0.14,,1,1
254,GJ 536 b,,0.01686,Msini,8.7076,0.08,,488.5190037,0.52,-0.08,,1,1
255,GJ 581 b,,0.0497,Msini,5.3686,0,,458.0889653,0.31,-0.169,4.3,1,3
256,GJ 581 c,,0.0173,Msini,12.914,0,,344.8877904,0.31,-0.088,4.3,1,3
257,GJ 581 e,,0.0053,Msini,3.149,0,,546.2582825,0.31,,4.3,1,3
258,GJ 625 b,,0.00887,Msini,14.628,0.13,,335.5752664,0.3,-0.38,,1,1
259,GJ 649 b,,0.328,Msini,598.3,0.3,,120.312071,0.54,0.08,,1,1
260,GJ 667 C b,,0.018,Msini,7.2004,0.13,,,0.33,-0.55,,3,5
261,GJ 667 C c,,0.012,Msini,28.14,0.02,,,0.33,-0.55,,3,5
262,GJ 667 C e,,0.008,Msini,62.24,0.02,,,0.33,-0.55,,3,5
263,GJ 667 C f,,0.008,Msini,39.026,0.03,,,0.33,-0.55,,3,5
264,GJ 667 C g,,0.014,Msini,256.2,0.08,,,0.33,-0.55,,3,5
265,GJ 674 b,,,,4.6938,0.2,,,0.35,-0.28,0.55,1,1
266,GJ 676 A b,,5.77988,Mass,1051.445206,0.318615,48.919,,0.63,0.155,,2,4
267,GJ 676 A c,,13.4381,Mass,13921.42302,0.295316,33.69,,0.63,,,2,4
268,GJ 676 A d,,0.01195,Msini,3.60075682,0.192193,,,0.63,0.23,,2,4
269,GJ 676 A e,,0.02105,Msini,35.47357709,0.152395,,,0.63,0.23,,2,4
270,GJ 680 b,,24.43125,Mass,17281.66514,0.381243,21.984,,0.46,,,1,1
271,GJ 682 b,,0.01384,Msini,17.478,0.08,,,0.27,,,1,2
272,GJ 682 c,,0.02737,Msini,57.32,0.1,,,0.27,,,1,2
273,GJ 685 b,,0.02832,Msini,24.16,,,369.3681988,0.55,-0.15,,1,1
274,GJ 687 b,,0.05412,Msini,38.142,0.17,,264.7374685,0.4,0.1065,,1,2
275,GJ 687 c,,0.05034,Msini,727.562,0.4,,,0.4,,,1,2
276,GJ 720 A b,,0.04292,Msini,19.466,0.12,,401,0.57,-0.14,,2,1
277,GJ 740 b,,0.00931,Msini,2.37756,0.24,,829,0.58,0.08,,1,1
278,GJ 832 b,,0.68,Msini,3657,0.08,,61.78468115,0.45,-0.3,,1,1
279,GJ 849 b,,0.9,Msini,1915,0.0476,,74.22336153,0.49,0.22,,1,2
280,GJ 849 c,,0.702,Msini,7068,0.099,,49.40541652,0.49,0.22,,1,2
281,GJ 86 b,,4.42,Msini,15.76491,0.04,,,0.93,-0.22,,2,1
282,GJ 876 b,,2.2756,Mass,61.1166,0.0324,51.085,203.5615759,0.32,0.1315,2.55,1,4
283,GJ 876 c,,0.7142,Mass,30.0881,0.25591,49.43,257.5160748,0.32,0.1315,2.55,1,4
284,GJ 876 d,,0.021,Mass,1.93778,0.207,53.19,642.4427643,0.32,0.1315,2.55,1,4
285,GJ 876 e,,0.046,Mass,124.26,0.055,53.19,155.7401035,0.32,,,1,4
286,GJ 887 b,,0.01321,Msini,9.262,,,467.3611229,0.49,-0.06,2.88,1,2
287,GJ 887 c,,0.02391,Msini,21.789,,,351.4053822,0.49,-0.06,2.88,1,2
288,GJ 896 A b,,2.26,Mass,284.39,0.35,69.2,,0.44,,,2,1
289,GJ 9066 c,,0.21,Msini,771.36,0.46,,65.04807464,0.15,-0.13,,1,1
290,GJ 96 b,,0.06186,Msini,73.94,0.44,,,0.6,0.14,,1,1
291,GJ 9689 b,,0.03036,Msini,18.27,0.29,,453,0.59,0.05,8.9,1,1
292,GJ 9714 b,,9.60029,Mass,19240.75467,0.155099,155.326,,0.67,,,1,1
293,GJ 9827 b,0.141,0.01545,Mass,1.2089819,,86.07,1110,0.61,-0.26,10,1,3
294,GJ 9827 c,0.111,0.006085,Mass,3.6480957,,88.19,768,0.61,-0.26,10,1,3
295,GJ 9827 d,0.18,0.01271,Mass,6.2014698,,87.443,643.6666667,0.61,-0.26,10,1,3
