planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass
51 Peg b;1;4.23100000;0.052000;;80.000;0.000000;;55.200;;;;1.04
55 Cnc b;2;14.67000000;0.115000;;;0.019700;;67.365;;;;0.95
55 Cnc b;2;14.65160000;0.113400;;;0.000000;;71.370;;5172.00;0.94;0.91
55 Cnc b;2;14.60000000;0.113000;;;0.000000;;;700;;;
55 Cnc b;2;14.65126000;0.113800;;;0.015900;;71.840;;5250.00;0.96;0.90
55 Cnc b;2;14.65100000;0.113400;;;0.004000;;71.110;;5250.00;0.96;0.90
55 Cnc b;2;14.65162000;0.115000;;;0.014000;;;;5250.00;0.96;0.90
55 Cnc b;2;14.65152000;0.115227;;90.000;0.003400;;71.400;;;;0.95
55 Cnc b;2;14.64800000;0.110000;;;0.051000;;77.100;;5200.00;;0.85
55 Cnc b;2;14.64700000;0.115000;;;0.030000;;78.300;;;;
55 Cnc b;2;14.65171000;0.116200;;;0.004800;;71.080;;5317.89;0.96;0.97
55 Cnc b;2;14.65300000;0.115000;;;0.020000;;72.200;;;;0.95
55 Cnc b;2;14.46531400;0.113390;;89.730;0.002300;;71.470;;5250.00;0.96;0.90
55 Cnc c;2;43.93000000;0.240000;;;0.440000;;12.946;;;;0.95
55 Cnc c;2;44.38000000;0.237000;;;0.070000;;10.120;;5250.00;0.96;0.90
55 Cnc c;2;44.41750000;0.241376;;90.000;0.020000;;10.180;;;;0.95
55 Cnc c;2;44.38270000;0.243200;;;0.048000;;10.010;;5317.89;0.96;0.97
55 Cnc c;2;44.34460000;0.240000;;;0.086000;;;;5250.00;0.96;0.90
55 Cnc c;2;44.39890000;0.237300;;;0.030000;;9.890;;5172.00;0.94;0.91
55 Cnc c;2;44.37870000;0.238000;;;0.053000;;10.060;;5250.00;0.96;0.90
55 Cnc c;2;44.37300000;0.237350;;89.730;0.072000;;10.480;;5250.00;0.96;0.90
55 Cnc d;2;4820.00000000;5.540000;;;0.139000;;35.300;;5317.89;0.96;0.97
55 Cnc d;2;4545.00000000;5.280000;;;0.240000;;37.800;;;;
55 Cnc d;2;5360.00000000;5.900000;;;0.160000;;49.300;;;;0.95
55 Cnc d;2;4867.00000000;5.446000;;89.730;0.026900;;47.300;;5250.00;0.96;0.90
55 Cnc d;2;5574.20000000;5.957000;;;0.130000;;38.600;;5172.00;0.94;0.91
55 Cnc d;2;4517.40000000;5.257000;;;0.327000;;49.786;;;;0.95
55 Cnc d;2;5218.00000000;5.770000;;;0.025000;;;;5250.00;0.96;0.90
55 Cnc d;2;5370.00000000;5.840000;;;0.063000;;47.200;;5250.00;0.96;0.90
55 Cnc d;2;4825.00000000;5.503000;;90.000;0.019000;;48.290;;;;0.95
55 Cnc d;2;4909.00000000;5.470000;;;0.020000;;45.200;;5250.00;0.96;0.90
55 Cnc e;2;0.73654625;;;83.600;;;;;5234.00;0.94;0.91
55 Cnc e;2;0.73654625;;2.023;;;2657.83;;1831;5250.00;0.96;
55 Cnc e;2;2.80800000;0.038000;;;0.174000;;6.665;;;;0.95
55 Cnc e;2;0.73654450;0.015830;;;0.036000;;6.760;;5317.89;0.96;0.97
55 Cnc e;2;;;;;;;;;5250.00;0.96;0.90
55 Cnc e;2;0.73654780;0.015439;;90.360;0.028000;;6.120;;5250.00;0.96;0.90
55 Cnc e;2;2.79674000;0.037700;;;0.264000;;3.730;;5250.00;0.96;0.90
55 Cnc e;2;0.73654604;;;;;;;;;;
55 Cnc e;2;0.73654370;0.015440;2.080;87.300;0.061000;;5.930;1958;5234.00;0.94;0.91
55 Cnc e;2;;0.015440;1.920;83.000;;;;;5250.00;0.96;0.90
55 Cnc e;2;0.73700000;;1.897;;;;6.000;;5172.00;0.95;0.87
55 Cnc e;2;0.73654170;;;85.400;;;6.300;;;;
55 Cnc e;2;0.73655150;0.015691;;90.000;0.040000;;5.970;;;;0.95
55 Cnc e;2;0.73653900;0.015440;1.910;83.300;;;;;5250.00;0.96;0.90
55 Cnc e;2;0.73654740;;1.947;;;;6.020;;;0.98;1.01
55 Cnc e;2;0.73654740;0.015440;1.875;83.590;0.050000;;6.020;;5172.00;0.94;0.91
55 Cnc e;2;0.73654000;0.015830;2.000;90.000;;;6.100;;;0.94;0.96
55 Cnc e;2;0.73654600;0.015830;2.173;;0.000000;;6.300;;5250.00;0.96;0.90
55 Cnc f;2;260.91000000;0.773300;;89.730;0.080000;;4.800;;5250.00;0.96;0.90
55 Cnc f;2;262.00000000;0.788000;;90.000;0.305000;;4.870;;;;0.95
55 Cnc f;2;259.88000000;0.770800;;;0.080000;;5.140;;5172.00;0.94;0.91
55 Cnc f;2;260.00000000;0.781000;;;0.200000;;;;5250.00;0.96;0.90
55 Cnc f;2;260.98000000;0.792000;;;0.142000;;4.840;;5317.89;0.96;0.97
55 Cnc f;2;260.70000000;0.775000;;;0.000000;;4.750;;5250.00;0.96;0.90
55 Cnc f;2;261.20000000;0.770000;;;0.320000;;6.200;;5250.00;0.96;0.90
6 Lyn b;1;934.30000000;2.110000;;;0.073000;;32.800;;4938.00;5.20;1.44
6 Lyn b;1;899.00000000;2.200000;;;0.134000;;36.200;;4978.00;5.20;1.70
6 Lyn b;1;874.77400000;2.180000;;;0.125000;;31.530;;;5.20;1.82
6 Lyn b;1;919.86000000;2.028000;;;0.042000;;32.760;;4941.00;4.94;1.32
61 Vir b;1;4.21500000;0.050201;;;0.120000;;2.120;;5577.00;0.96;0.94
61 Vir b;1;4.21487000;0.049560;;;0.099000;;2.170;;5585.57;1.03;0.91
61 Vir c;1;38.09570000;0.215100;;;0.068000;;3.270;;5585.57;1.03;0.91
61 Vir c;1;38.02100000;0.217500;;;0.140000;;3.620;;5577.00;0.96;0.94
61 Vir d;1;123.01000000;0.476000;;;0.350000;;3.250;;5577.00;0.96;0.94
7 CMa b;1;763.00000000;1.900000;;;0.140000;;44.900;;4792.00;2.30;1.52
7 CMa b;1;735.10000000;1.758000;;90.000;0.060000;;34.300;;4826.00;4.87;1.34
7 CMa b;1;796.00000000;1.930000;;;0.220000;;41.800;;4794.52;4.91;
7 CMa b;1;;1.800000;;;;;;;;5.20;1.44
7 CMa c;1;996.00000000;2.153000;;90.000;0.080000;;14.900;;4826.00;4.87;1.34
7 CMa c;1;;2.205000;;;;;;;;5.20;1.44
70 Vir b;1;116.68800000;0.481000;;;0.398800;;316.200;;5495.00;1.89;1.09
70 Vir b;1;116.69260000;0.481000;;;0.399000;;315.700;;5439.00;1.94;1.09
70 Vir b;1;116.68900000;0.456000;;;0.397000;;314.100;;;;
70 Vir b;1;116.68840000;0.484000;;;0.400700;;316.300;;5545.00;;1.11
70 Vir b;1;116.68840000;0.480000;;;0.400000;;316.300;;5531.00;1.84;1.14
70 Vir b;1;116.69335000;0.476500;;;0.398900;;315.540;;5481.86;1.92;1.06
75 Cet b;2;696.62000000;1.912000;;;0.093000;;36.920;;4809.00;10.38;1.92
75 Cet b;2;691.90000000;2.100000;;;0.117000;;38.300;;4846.00;10.50;2.49
75 Cet c;2;2051.62000000;3.929000;;;0.023000;;9.440;;4809.00;10.38;1.92
8 UMi b;1;93.40000000;0.490000;;;0.060000;;46.100;;4847.00;10.30;1.44
8 UMi b;1;93.40000000;0.490000;;;0.060000;;46.100;;4847.40;9.90;1.80
81 Cet b;1;952.70000000;2.500000;;;0.206000;;62.800;;4785.00;11.00;2.40
81 Cet b;1;;2.170000;;;;;;;;;1.60
81 Cet b;1;1005.57000000;2.104000;;;0.037000;;58.510;;4734.00;11.21;1.23
91 Aqr b;3;181.40000000;0.700000;;;0.027000;;91.500;;4665.00;11.00;1.40
AB Aur b;1;;93.900000;;42.600;0.400000;;;;9770.00;;2.40
AB Pic b;1;;260.000000;;;;;;;;;
AF Lep b;1;7520.00000000;7.990000;;82.000;0.470000;;;1400;6100.00;1.25;1.20
AF Lep b;1;8030.00000000;8.400000;;50.000;0.240000;;;;6130.00;1.25;1.20
AF Lep b;1;9060.00000000;9.300000;;98.000;0.320000;;;;6140.00;;1.13
AU Mic b;1;8.46314270;;;;;;4.500;;3665.00;0.82;0.60
AU Mic b;1;8.46321000;;;89.500;;;8.500;;3700.00;0.75;0.50
AU Mic b;1;8.46300000;0.064500;4.070;89.500;0.000000;;8.500;593;3700.00;0.75;0.50
AU Mic b;1;8.46321000;;;;0.000000;;;;;;
AU Mic b;1;8.46300040;0.064400;4.190;89.180;0.120000;;;;;0.75;
AU Mic b;1;;;4.027;;;76.64;;755;3588.00;0.70;
AU Mic b;1;8.46299910;0.064500;;;0.186000;;10.230;;;;0.50
AU Mic b;1;8.46308000;0.064900;3.957;89.579;0.005770;21.20;;600;3678.00;0.74;0.51
AU Mic b;1;8.46300000;;;;0.040000;;5.800;;3700.00;0.75;0.50
AU Mic b;1;8.46321000;0.066000;4.203;;0.100000;;28.000;;3700.00;0.75;0.50
AU Mic c;1;18.85969000;0.110800;2.522;89.227;0.003380;7.30;;459;3678.00;0.74;0.51
AU Mic c;1;18.85901900;0.110100;3.240;89.000;0.000000;;5.200;454;3700.00;0.75;0.50
AU Mic c;1;18.85899100;0.110100;;;;;3.680;;;;0.50
AU Mic c;1;18.85882000;;;;;;4.800;;3665.00;0.82;0.60
AU Mic c;1;18.85898200;0.110000;2.790;89.390;0.130000;;;;;0.75;
AU Mic c;1;18.85901900;;;;0.041000;;8.500;;3700.00;0.75;0.50
AU Mic d;1;12.73596000;;;89.318;0.003050;;;;3678.00;0.74;0.51
BD+03 2562 b;1;481.90000000;1.300000;;;0.200000;;155.700;;4095.00;32.35;1.14
BD+14 4559 b;1;268.94000000;0.780000;;;0.290000;;55.200;;4864.00;0.86;0.49
BD+14 4559 b;1;268.94000000;0.777000;;;0.290000;;55.210;;5008.00;0.95;0.86
BD+15 2375 b;1;153.22000000;0.576000;;;0.001000;;38.300;;4649.00;8.95;1.08
BD+15 2940 b;1;137.48000000;0.539000;;;0.260000;;42.700;;4796.00;14.70;1.10
BD+20 2457 b;1;379.63000000;1.050000;;;0.150000;;322.400;;4259.00;71.02;10.83
BD+20 2457 b;1;379.63000000;1.450000;;;0.150000;;322.350;;4137.00;49.00;2.80
BD+20 2457 c;1;621.99000000;2.010000;;;0.180000;;160.030;;4137.00;49.00;2.80
BD+20 274 b;1;578.20000000;1.300000;;;0.210000;;121.400;;4296.00;17.30;0.80
BD+20 594 b;1;41.68864400;;2.355;89.526;;;;;5703.00;0.96;0.96
BD+20 594 b;1;41.68550000;;2.578;89.550;0.000000;;3.100;;5766.00;1.08;1.67
BD+20 594 b;1;41.68550000;0.241000;2.230;89.550;0.000000;;3.100;546;5766.00;0.93;0.96
BD+45 564 b;1;307.88000000;0.830000;;2.579;0.120000;;47.680;;5004.00;;0.81
BD+48 738 b;1;392.60000000;1.000000;;;0.200000;;31.900;;4414.00;11.00;0.74
BD+48 740 b;1;733.00000000;1.700000;;;0.760000;;54.000;;4534.00;10.33;1.09
BD+49 828 b;1;2590.00000000;4.200000;;;0.350000;;18.800;;4943.00;7.60;1.52
BD+55 362 b;1;265.59000000;0.780000;;601;0.270000;;25.120;;5012.00;;0.91
BD+60 1417 b;1;;1662.000000;14.684;;;;;1303;4993.00;0.80;1.00
BD+63 1405 b;1;1230.00000000;2.115000;;23.500;0.891000;;;;5000.00;;0.82
BD+63 1405 b;1;1198.48000000;2.060000;;5.974;0.880000;;186.010;;5000.00;;0.82
BD-06 1339 b;1;3.87280000;0.042800;;;0.000000;;4.400;;4324.00;;0.70
BD-06 1339 c;1;125.94000000;0.435000;;;0.310000;;9.100;;4324.00;;0.70
BD-08 2823 b;1;5.60000000;0.056000;;;0.150000;;6.500;;4746.00;;0.74
BD-08 2823 b;1;5.60000000;0.060000;;;0.150000;;6.500;;4816.00;0.71;0.50
BD-08 2823 c;1;237.60000000;0.680000;;;0.190000;;13.400;;4746.00;;0.74
BD-10 3166 b;1;3.48790500;0.045000;;;0.022000;;60.200;;5382.64;0.97;1.00
BD-10 3166 b;1;3.48777000;0.045200;;;0.019000;;60.900;;5393.00;;1.01
BD-10 3166 b;1;3.48777000;0.040000;;;0.020000;;60.900;;5393.00;0.91;1.47
BD-10 3166 b;1;3.48700000;0.046000;;;0.050000;;60.600;;5400.00;;1.10
BD-11 4672 b;1;1634.00000000;2.360000;;;0.050000;;14.880;;4550.00;0.64;0.65
BD-11 4672 b;1;1667.00000000;2.280000;;;0.050000;;13.400;;4475.00;0.52;0.57
BD-11 4672 c;1;74.20000000;0.300000;;;0.400000;;3.420;;4550.00;0.64;0.65
BD-13 2130 b;1;714.29999000;1.660000;;;0.210000;;137.600;;4545.00;19.17;2.12
BD-13 2130 b;1;714.30000000;2.100000;;;0.210000;;137.600;;;;2.40
BD-14 3065 b;3;4.28897310;0.065600;21.590;80.780;0.066000;;1210.000;2001;6935.00;2.35;1.41
BD-14 3065 b;3;4.28896960;;20.711;;;646.76;;1404;6736.90;2.61;
BD-17 63 b;1;655.60000000;1.340000;;;0.540000;;173.300;;4714.00;0.69;0.74
BD-17 63 b;1;655.59998000;1.340000;;;0.540000;;173.300;;4665.00;0.74;0.31
BD-17 63 b;1;649.00000000;;;80.000;0.280000;;;;;;
BD-17 63 b;1;655.57000000;;;;0.543900;;;;;;0.74
BD-210397 b;1;1891.00000000;2.630000;;;0.100000;0.02;14.000;;4051.00;0.75;0.68
BD-210397 c;1;6240.00000000;5.900000;;33.000;0.430000;;;;;;0.69
BD-210397 c;1;6360.00000000;5.900000;;;0.100000;0.00;34.000;;4051.00;0.75;0.68
Barnard b;1;3.15330000;0.022940;;;0.160000;6.76;550;400;3195.00;0.18;0.16
CD Cet b;1;2.29070000;0.018500;;87.480;;8.60;6.510;464;3130.00;0.17;0.16
CFBDSIR J145829+101343 b;1;10037.50000000;2.600000;;;;;;370;580.50;;0.02
CFHTWIR-Oph 98 b;1;8040000.00000000;200.000000;20.849;;;;;1800;2320.00;0.24;0.01
CHXR 73 b;1;;210.000000;;;;;;;;;0.35
CI Tau c;1;25.20000000;0.170000;;;0.580000;;300.000;;;;
COCONUTS-2 b;1;;;12.442;;;;;;3406.00;0.39;0.37
COCONUTS-2 b;1;402000000.00000000;7506.000000;12.442;;;;;434;3406.00;0.39;0.37
