planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,planet_temperature,star_temperature,star_radius,star_mass
Kepler-815 b,1,8.57504983,0.0888,4.26,89.03,0.0,841.68,1374.0,4986.0,3.46,1.27
Kepler-816 b,1,10.50682565,0.0893,9.41,89.95,0.0,47.48,669.0,5122.0,0.78,0.86
Kepler-819 b,1,33.1995648,0.1899,2.56,89.95,0.0,11.37,468.0,5307.0,0.76,0.83
Kepler-82 b,1,26.44439337,0.1687,3.91,89.97,0.0,23.54,562.0,5427.0,0.93,0.92
Kepler-820 b,1,127.8338098,0.5102,7.57,89.95,0.0,14.54,498.0,6205.0,1.69,1.08
Kepler-821 b,1,1.92279873,0.0282,1.25,88.81,0.0,481.04,1194.0,5155.0,0.78,0.81
Kepler-823 b,1,4.16809082,0.0523,1.95,89.38,0.0,496.73,1204.0,5739.0,1.18,1.1
Kepler-825 b,1,3.77360059,0.0453,1.35,89.95,0.0,614.52,1270.0,6224.0,0.97,0.87
Kepler-825 c,1,8.1818246,0.0759,1.71,89.95,0.0,218.9,981.0,6224.0,0.97,0.87
Kepler-828 b,1,0.56785648,0.0125,1.55,85.49,0.0,2760.23,1848.0,5073.0,0.85,0.81
Kepler-829 b,1,6.8833761,0.0678,1.69,89.82,0.0,127.67,857.0,5679.0,0.79,0.89
Kepler-833 b,1,18.7546998,0.1139,1.75,89.95,0.0,5.03,382.0,3977.0,0.54,0.56
Kepler-838 b,1,15.74958583,0.1266,2.77,88.24,0.0,86.18,777.0,6191.0,1.02,1.09
Kepler-839 b,1,37.8144514,0.2281,2.29,89.95,0.0,33.51,614.0,6228.0,1.14,1.1
Kepler-84 c,1,12.88296485,0.1078,2.94,81.36,0.0,106.21,819.0,6028.0,1.02,1.0
Kepler-844 b,1,2.61302042,0.0298,1.5,80.29,0.0,61.24,713.0,3883.0,0.52,0.52
Kepler-847 b,1,2.3432319,0.0322,1.34,89.38,0.0,355.02,1107.0,4876.0,0.85,0.81
Kepler-849 b,1,394.6244904,1.1084,8.26,89.95,0.0,3.05,337.0,5858.0,1.89,1.16
Kepler-85 d,1,17.9134215,0.1279,1.39,87.39,0.0,36.38,626.0,5435.0,0.87,0.87
Kepler-850 b,1,7.19303878,0.0744,1.65,89.95,0.0,232.36,996.0,6185.0,0.99,1.06
Kepler-851 b,1,8.50698069,0.0802,1.9,86.53,0.0,155.42,900.0,5822.0,0.99,0.95
Kepler-852 b,1,44.9306706,0.2654,2.49,89.42,0.0,24.17,565.0,6121.0,1.16,1.23
Kepler-855 b,1,7.8866311,0.0762,9.23,89.95,0.0,232.07,995.0,5847.0,1.14,0.95
Kepler-856 b,1,8.02768112,0.0787,8.43,88.52,0.0,109.35,824.0,5569.0,0.89,1.01
Kepler-857 b,1,85.35129427,0.3629,5.56,89.95,0.0,4.43,370.0,5635.0,0.8,0.88
Kepler-858 b,1,76.13602028,0.3355,5.41,89.95,0.0,7.72,425.0,5565.0,1.01,0.87
Kepler-859 b,1,20.38174802,0.1345,3.16,89.59,0.0,18.36,528.0,4883.0,0.81,0.78
Kepler-860 b,1,5.10137945,0.058,2.91,89.95,0.0,287.28,1050.0,5869.0,0.95,1.0
Kepler-861 b,1,3.94963138,0.0463,2.43,88.81,0.0,206.05,966.0,5155.0,0.84,0.85
Kepler-862 b,1,3.14866453,0.039,2.27,86.52,0.0,342.76,1097.0,5258.0,0.87,0.8
Kepler-865 c,1,6.20925415,0.061,900.0,89.38,0.0,164.98,914.0,5440.0,0.89,0.78
Kepler-866 b,1,2.61703254,0.0331,1.66,88.24,0.0,233.23,997.0,4831.0,0.72,0.71
Kepler-867 b,1,150.2412582,0.5375,4.6,89.81,0.0,2.72,327.0,5604.0,0.94,0.92
Kepler-869 b,1,40.4287755,0.2241,3.25,87.09,0.0,14.28,496.0,5812.0,0.84,0.92
Kepler-87 b,1,114.73658,0.4572,12.28,89.47,0.0,12.13,476.0,5597.0,1.7,0.97
Kepler-87 c,1,573.95023,1.3423,4.96,89.95,0.0,1.07,259.0,5991.0,1.29,0.98
Kepler-871 b,1,22.0459018,0.1572,3.14,88.24,0.0,39.69,640.0,5900.0,0.95,1.06
Kepler-873 b,1,20.5533844,0.1568,3.32,88.24,0.0,76.18,753.0,6343.0,1.14,1.21
Kepler-874 b,1,40.0686727,0.2234,3.41,88.81,0.0,23.27,560.0,6026.0,0.99,0.92
Kepler-875 b,1,27.5073799,0.1771,2.28,88.81,0.0,24.71,569.0,5783.0,0.88,0.98
Kepler-876 b,1,5.14438011,0.0563,1.45,89.38,0.0,131.97,864.0,5192.0,0.8,0.9
Kepler-877 b,1,18.45848388,0.1301,2.5,88.09,0.0,37.81,632.0,5311.0,0.95,0.86
Kepler-878 b,1,25.9422033,0.154,1.87,89.95,0.0,15.07,502.0,5121.0,0.76,0.72
Kepler-880 b,1,7.71467686,0.0915,4.65,81.59,0.0,1636.72,1622.0,6900.0,2.6,1.71
Kepler-880 c,1,11.8061737,0.1216,2.87,84.28,0.0,926.72,1407.0,6900.0,2.6,1.71
Kepler-882 b,1,3.98953967,0.0451,960.0,89.95,0.0,155.46,901.0,5208.0,0.69,0.77
Kepler-883 b,1,12.98495573,0.102,1.53,89.38,0.0,114.39,834.0,6212.0,0.94,0.84
Kepler-884 b,1,5.69919514,0.0625,1.32,89.95,0.0,332.54,1089.0,6070.0,1.03,1.0
Kepler-886 b,1,6.24146367,0.0671,1.36,89.38,0.0,344.06,1098.0,6334.0,1.04,1.03
Kepler-887 b,1,20.42228798,0.1543,1.62,89.95,0.0,87.97,781.0,6422.0,1.17,1.18
Kepler-890 b,1,52.75875577,0.2948,9.04,89.95,0.0,20.85,545.0,6244.0,1.15,1.23
Kepler-892 b,1,13.7521072,0.1014,2.74,88.81,0.0,22.65,556.0,4797.0,0.7,0.73
Kepler-893 b,1,6.33855761,0.0699,3.19,84.8,0.0,270.47,1034.0,6108.0,1.03,1.13
Kepler-894 b,1,9.803224,0.0916,3.23,86.52,0.0,152.12,896.0,6170.0,0.99,1.06
Kepler-895 b,1,2.80624349,0.0328,1.41,89.82,0.0,83.53,771.0,4153.0,0.58,0.59
Kepler-896 c,1,29.5422963,0.1791,3.23,81.36,0.0,16.84,517.0,5514.0,0.81,0.88
Kepler-897 b,1,8.0472642,0.077,1.95,89.38,0.0,125.53,854.0,5835.0,0.85,0.94
Kepler-898 b,1,5.8706191,0.0534,1.38,87.66,0.0,31.34,603.0,4187.0,0.57,0.59
Kepler-899 b,1,19.17891293,0.1392,2.57,89.38,0.0,39.65,640.0,5767.0,0.88,0.98
Kepler-902 b,1,40.1099547,0.2281,2.49,89.95,0.0,17.82,524.0,5960.0,0.91,0.98
Kepler-903 b,1,10.3507721,0.0912,1.75,80.79,0.0,84.89,774.0,5735.0,0.85,0.94
Kepler-904 b,1,3.02166863,0.0417,1.35,87.66,0.0,744.35,1332.0,6201.0,0.99,1.06
Kepler-907 b,1,15.86621821,0.1236,1.18,89.95,0.0,137.66,874.0,6044.0,1.33,1.01
Kepler-911 b,1,20.31047472,0.1549,2.41,89.9,0.0,177.81,931.0,6065.0,1.88,1.2
Kepler-912 b,1,2.53475627,0.0339,2.0,73.91,0.0,519.95,1218.0,5662.0,0.81,0.81
Kepler-913 c,1,5.93918879,0.0608,1.72,89.95,0.0,122.82,849.0,5412.0,0.77,0.86
Kepler-914 b,1,4.40966548,0.0546,1.32,89.95,0.0,468.0,1186.0,5862.0,1.15,1.12
Kepler-92 b,1,13.7488263,0.1194,3.58,87.66,0.0,216.31,978.0,5871.0,1.7,1.21
Kepler-92 d,1,49.3568849,0.2801,1.99,89.95,0.0,39.31,639.0,5871.0,1.7,1.21
Kepler-920 b,1,6.53192704,0.0686,2.57,89.38,0.0,156.69,902.0,5638.0,0.9,1.0
Kepler-920 c,1,100.8274113,0.425,4.05,89.38,0.0,4.08,363.0,5638.0,0.9,1.0
Kepler-922 b,1,0.93846683,0.0186,1.48,87.66,0.0,3070.23,1898.0,5902.0,0.99,0.98
Kepler-927 b,1,9.1149903,0.0866,1.78,89.95,0.0,159.34,906.0,5962.0,1.03,1.04
Kepler-928 b,1,3.9324613,0.0444,1.8,87.66,0.0,151.31,894.0,4841.0,0.78,0.76
Kepler-929 b,1,0.9210305,0.0192,1.62,89.49,0.0,7380.64,2362.0,5843.0,1.61,1.11
Kepler-930 b,1,71.4523167,0.3475,2.19,89.99,0.0,23.44,561.0,6148.0,1.49,1.09
Kepler-931 b,1,8.03755877,0.0719,1.35,89.95,0.0,72.44,744.0,5044.0,0.8,0.76
Kepler-933 b,1,14.20443009,0.1039,2.02,89.95,0.0,32.63,610.0,5362.0,0.69,0.74
Kepler-935 b,1,4.88084456,0.0527,1.55,89.1,0.0,141.0,879.0,4929.0,0.86,0.82
Kepler-936 b,1,10.56134221,0.0954,1.92,89.95,0.0,133.56,867.0,5610.0,1.17,1.03
Kepler-937 b,1,67.668827,0.3212,3.27,89.95,0.0,14.22,495.0,6126.0,1.08,0.96
Kepler-941 b,1,17.42393582,0.1311,3.29,85.65,0.0,64.13,722.0,6018.0,0.97,0.99
Kepler-944 b,1,43.3167427,0.2288,2.42,89.97,0.0,10.47,459.0,5654.0,0.77,0.86
Kepler-945 b,1,31.0033072,0.2037,2.72,89.81,0.0,34.03,616.0,6090.0,1.07,1.17
Kepler-946 b,1,11.79161234,0.1002,2.41,89.94,0.0,127.75,857.0,5619.0,1.2,0.96
Kepler-947 b,1,26.9644317,0.1773,2.4,89.38,0.0,25.56,573.0,5754.0,0.91,1.02
Kepler-950 b,1,98.7180406,0.3993,6.97,89.95,0.0,4.1,363.0,5838.0,0.79,0.87
Kepler-951 b,2,71.52530845,0.3114,6.21,89.95,0.0,3.39,346.0,4850.0,0.81,0.79
Kepler-952 b,1,130.3543929,0.5183,7.7,89.7,0.0,4.36,369.0,5970.0,1.01,1.09
Kepler-955 b,1,14.5324483,0.1083,3.11,90.0,0.0,46.06,664.0,5345.0,0.86,0.8
Kepler-956 b,1,5.24867263,0.0609,2.69,87.66,0.0,354.27,1106.0,6126.0,1.02,1.09
Kepler-957 b,1,5.90741476,0.0559,5.1,89.78,0.0,82.73,769.0,4963.0,0.69,0.67
Kepler-958 b,1,9.76785911,0.0852,2.54,86.73,0.0,74.48,749.0,5371.0,0.85,0.86
Kepler-965 b,1,134.2527298,0.4971,2.42,89.95,0.0,3.15,340.0,5973.0,0.83,0.91
Kepler-967 b,1,13.22714056,0.1027,2.22,89.98,0.0,39.1,638.0,5180.0,0.8,0.82
Kepler-967 c,1,198.7112502,0.568,2.86,89.95,0.0,0.73,236.0,5080.0,0.63,0.62
Kepler-968 b,1,3.69298373,0.0388,1.61,89.38,0.0,73.98,748.0,4397.0,0.58,0.57
Kepler-969 c,1,1.6829346,0.0261,1.16,85.94,0.0,972.56,1424.0,5346.0,0.95,0.83
Kepler-97 b,1,2.58663952,0.0356,1.44,87.61,0.0,735.48,1328.0,5780.0,0.97,0.9
Kepler-973 b,1,49.6077331,0.2351,1.84,89.95,0.0,6.42,406.0,5180.0,0.74,0.7
Kepler-975 c,1,5.0582132,0.0567,5.99,87.09,0.0,439.8,1168.0,4883.0,1.67,0.95
Kepler-978 b,1,49.6220669,0.2726,3.33,87.52,0.0,20.99,546.0,5938.0,1.18,1.1
Kepler-980 b,1,11.55102504,0.0974,2.05,84.8,0.0,79.35,761.0,5897.0,0.83,0.92
Kepler-982 b,1,15.7738221,0.1287,2.87,89.95,0.0,216.15,978.0,6260.0,1.61,1.14
Kepler-984 b,1,43.0342272,0.2364,3.01,89.95,0.0,29.35,594.0,5650.0,1.34,0.95
Kepler-985 b,1,116.331901,0.4636,3.53,89.95,0.0,4.47,371.0,5733.0,1.0,0.98
Kepler-987 b,1,105.3033148,0.4445,3.54,89.95,0.0,5.68,394.0,6032.0,0.97,1.05
Kepler-988 b,1,17.76080053,0.11,2.17,89.38,0.0,5.65,393.0,3950.0,0.56,0.56
Kepler-989 b,1,7.96431535,0.0734,2.56,89.95,0.0,99.42,805.0,5185.0,0.91,0.83
Kepler-990 b,1,9.91723428,0.089,2.25,87.09,0.0,121.67,847.0,5953.0,0.93,0.96
Kepler-990 c,1,0.53835407,0.0127,1.67,82.87,0.0,7609.22,2386.0,5539.0,1.21,0.93
Kepler-991 b,1,82.5342519,0.3067,2.29,89.95,0.0,0.95,252.0,4237.0,0.56,0.56
Kepler-992 b,1,20.16034462,0.1423,3.78,87.66,0.0,81.88,767.0,5017.0,1.71,0.94
Kepler-993 b,1,22.08551599,0.13,3.34,89.41,0.0,3.63,352.0,3828.0,0.56,0.6
Kepler-994 b,1,1.15116678,0.0177,1.28,89.8,0.0,199.25,957.0,3951.0,0.54,0.56
Kepler-995 b,1,28.26727385,0.1701,2.93,89.99,0.0,16.84,517.0,5132.0,0.89,0.82
Kepler-996 b,1,3.77059065,0.0474,2.13,89.02,0.0,619.65,1272.0,5714.0,1.21,1.0
Kepler-997 b,1,2.7073064,0.0397,1.36,89.93,0.0,2012.12,1709.0,6045.0,1.63,1.13
Kepler-998 b,1,5.65378163,0.0626,1.82,88.77,0.0,256.14,1020.0,5988.0,0.93,1.02
Kepler-999 b,1,5.99185827,0.0681,2.75,85.77,0.0,796.76,1355.0,6157.0,1.7,1.17
L 98-59 d,1,7.4507245,0.0486,1.521,88.449,0.074,5.01,416.0,3415.0,0.3,0.27
LHS 1140 c,1,3.777931,0.02675,1.282,89.92,0.31,6.16,438.0,3216.0,0.21,0.18
LP 791-18 c,1,4.9899093,0.02961,2.438,89.78,8e-05,2.64,324.0,2960.0,0.18,0.14
LTT 1445 A c,3,3.1239035,0.02661,1.147,87.43,0.223,10.9,508.0,3340.0,0.27,0.26
NGTS-13 b,1,4.119027,0.0549,12.801,88.7,0.086,1096.0,1605.0,5819.0,1.79,1.3
NGTS-27 b,1,3.3704181,0.0446,15.648,86.2,0.0,1680.0,1783.0,5700.0,1.77,1.07
NGTS-33 b,1,2.827972,0.048,18.383,83.94,0.0,2620.0,1991.0,7437.0,1.47,1.6
Qatar-3 b,1,2.5079204,0.03783,12.285,86.8,0.0,1330.0,1681.0,6007.0,1.27,1.15
TIC 393818343 b,1,16.24921,0.1291,12.184,89.57,0.6058,2.28,806.0,5756.0,1.09,1.08
TOI-1052 b,1,9.139703,0.09103,2.87,87.53,0.18,246.0,1135.0,6146.0,1.26,1.2
TOI-1062 b,1,4.11296,0.052,2.265,85.913,0.177,232.0,1077.0,5328.0,0.84,0.94
TOI-1064 b,1,6.443868,0.06152,2.587,87.709,0.047,62.9,784.0,4734.0,0.73,0.75
TOI-1064 c,1,12.226574,0.09429,2.651,88.455,0.088,26.8,634.0,4734.0,0.73,0.75
TOI-1107 b,1,4.0782387,0.0561,14.572,88.63,0.025,532.0,1728.0,6311.0,1.81,1.35
TOI-1130 b,1,4.07445,0.04457,3.56,92.14,0.0541,78.1,632.0,4350.0,0.69,0.71
TOI-1201 b,2,2.4919863,0.0287,2.415,88.11,0.0,40.6,703.0,3476.0,0.51,0.51
TOI-122 b,1,5.07803,0.0392,2.72,88.4,0.0,8.8,471.0,3403.0,0.33,0.31
TOI-1221 b,1,91.68278,0.387,2.91,89.75,0.21,6.06,440.0,5592.0,1.03,0.93
TOI-1231 b,1,24.245586,0.1288,3.65,89.73,0.087,1.93,330.0,3553.0,0.48,0.48
TOI-125 b,1,4.65382,0.0521,2.755,88.99,0.183,179.0,1029.0,5282.0,0.85,0.87
TOI-125 c,1,9.15067,0.0818,2.79,88.52,0.065,75.39,821.0,5282.0,0.85,0.87
TOI-125 d,1,19.98,0.137,2.93,88.795,0.168,26.7,638.0,5320.0,0.85,0.86
TOI-1260 b,1,3.127463,0.0367,2.41,89.03,0.0,95.58,871.0,4227.0,0.67,0.68
TOI-1260 c,1,7.49325,0.0656,2.82,88.12,0.0,28.4,643.0,4227.0,0.65,0.66
TOI-1260 d,1,16.608164,0.1116,3.12,89.14,0.0,10.32,499.0,4227.0,0.67,0.68
TOI-1266 b,1,10.894879,0.0745,2.458,89.36,0.0,4.72,410.0,3573.0,0.42,0.44
TOI-1266 c,1,18.80152,0.1037,1.673,89.225,0.0,2.42,347.0,3573.0,0.42,0.44
TOI-132 b,1,2.1097019,0.026,3.42,85.03,0.059,860.0,1395.0,5397.0,0.9,0.97
TOI-1416 b,1,1.0697568,0.019,1.62,85.7,0.0,883.0,1517.0,4884.0,0.79,0.8
TOI-1420 b,1,6.9561063,0.071,11.89,88.58,0.17,139.0,957.0,5510.0,0.92,0.99
TOI-1431 b,1,2.650237,0.046,16.701,80.13,0.0022,5300.0,2370.0,7690.0,1.92,1.9
TOI-1448 b,1,8.112245,0.0567,2.749,89.62,0.36,5.45,426.0,3412.0,0.38,0.37
TOI-1452 b,2,11.06201,0.061,1.672,89.77,0.0,1.8,326.0,3185.0,0.28,0.25
TOI-1470 b,1,2.527093,0.0285,2.18,87.42,0.3,46.3,734.0,3709.0,0.47,0.47
TOI-1634 b,2,0.989343,0.01545,1.79,88.2,0.16,121.0,924.0,3550.0,0.45,0.5
TOI-1696 b,1,2.50031,0.0235,3.24,88.461,0.0,13.5,533.0,3168.0,0.29,0.27
TOI-172 b,1,9.47725,0.0914,10.817,88.2,0.3806,299.0,1198.0,5645.0,1.78,1.13
TOI-1759 b,1,18.85019,0.1177,3.14,89.72,0.0,6.39,443.0,4065.0,0.6,0.61
TOI-181 b,1,4.532,0.0539,6.956,88.28,0.1543,102.43,895.0,4994.0,0.74,0.82
TOI-1899 b,1,29.02,0.1587,12.89,89.77,0.118,2.9,362.0,3841.0,0.61,0.63
TOI-1937 A b,2,0.94667944,0.01932,13.978,77.0,0.0,3230.0,2097.0,5814.0,1.08,1.07
TOI-2000 b,1,3.09833,0.04271,2.7,84.59,0.0,628.0,1488.0,5611.0,1.13,1.08
TOI-2000 c,1,9.127055,0.0878,8.14,87.86,0.063,149.0,1038.0,5611.0,1.13,1.08
TOI-2010 b,1,141.834025,0.5516,11.814,89.903,0.212,4.09,400.0,5929.0,1.08,1.11
TOI-2015 b,1,3.348968,0.0301,3.39,87.95,0.0,11.47,512.0,3194.0,0.33,0.34
TOI-2095 c,1,28.17232,0.137,1.33,89.91,0.0,1.84,297.0,3759.0,0.44,0.44
TOI-2096 b,1,3.1190633,0.025,1.243,89.24,0.15,9.4,445.0,3300.0,0.23,0.23
TOI-2096 c,1,6.38784,0.04,1.914,89.56,0.1,3.7,349.0,3300.0,0.23,0.23
TOI-2120 b,1,5.7998164,0.0377,2.122,88.67,0.32,3.61,384.0,3131.0,0.24,0.21
TOI-2134 b,1,9.2292005,0.078,2.69,89.49,0.06,32.0,666.0,4580.0,0.71,0.74
TOI-2136 b,1,7.85191,0.054,2.09,88.441,0.0,4.4,403.0,3366.0,0.34,0.34
TOI-216.01,1,34.556,0.2069,11.29,89.83,0.029,10.1,497.0,5026.0,0.84,0.87
TOI-216.02,1,17.089,0.1293,7.69,88.364,0.132,25.9,628.0,5026.0,0.84,0.87
TOI-2193 A b,2,2.1225735,0.03319,19.84,79.96,0.0,1600.0,1763.0,5966.0,1.25,1.08
TOI-2196 b,1,1.1947268,0.02234,3.51,81.11,0.0,2000.0,1860.0,5634.0,1.04,1.03
TOI-2207 b,1,8.001968,0.0854,11.153,88.84,0.174,406.0,1259.0,6101.0,1.56,1.3
TOI-2236 b,1,3.5315902,0.05009,14.37,83.58,0.0,1356.0,1688.0,6248.0,1.57,1.34
TOI-2285 b,1,27.26955,0.1363,1.74,89.66,0.3,1.54,284.0,3491.0,0.46,0.45
TOI-2364 b,1,4.0197517,0.04871,8.608,88.98,0.0,237.0,1091.0,5306.0,0.89,0.95
TOI-237 b,1,5.436098,0.0341,1.44,89.5,0.0,3.7,388.0,3212.0,0.21,0.18
TOI-2379 b,1,5.4693827,0.05263,11.725,88.85,0.342,25.3,624.0,3707.0,0.62,0.65
TOI-238 b,1,1.2730991,0.02118,1.402,84.6,0.18,728.0,1311.0,5059.0,0.73,0.79
TOI-2384 b,1,2.13570304,0.02793,11.489,88.37,0.0,104.3,890.0,3943.0,0.61,0.64
TOI-2406 b,1,3.0766891,0.02267,2.86,89.8,0.17,6.69,449.0,3100.0,0.2,0.17
TOI-2421 b,1,4.3474032,0.0543,10.368,86.49,0.0,923.6,1534.0,5607.0,1.75,1.13
TOI-2458 b,1,3.73659,0.0482,2.83,84.03,0.087,865.0,1509.0,6005.0,1.31,1.05
TOI-2567 b,1,5.983944,0.0672,10.929,88.3,0.0,558.0,1352.0,5611.0,1.69,1.13
TOI-2570 b,1,2.9887615,0.04145,13.641,87.73,0.0,699.0,1431.0,5771.0,1.09,1.06
TOI-2583 A b,2,4.5207265,0.0571,14.46,88.16,0.0,750.9,1456.0,5936.0,1.48,1.22
TOI-2587 A b,2,5.45664,0.0635,12.072,84.81,0.0,728.0,1445.0,5760.0,1.73,1.15
TOI-2641 b,1,4.880974,0.0607,18.103,83.75,0.18,602.0,1387.0,6100.0,1.34,1.16
TOI-269 b,1,3.6977104,0.0345,2.77,88.14,0.425,19.0,531.0,3514.0,0.4,0.39
TOI-2796 b,1,4.8084983,0.0569,17.262,85.22,0.0,352.0,1205.0,5764.0,1.07,1.06
TOI-2803 A b,2,1.96229325,0.03185,18.114,89.0,0.0,2150.0,1893.0,6280.0,1.25,1.12
TOI-2818 b,1,4.039709,0.0493,15.278,87.73,0.0,598.0,1376.0,5721.0,1.23,0.98
TOI-2842 b,1,3.5514058,0.0475,12.845,84.42,0.0,781.8,1471.0,5910.0,1.26,1.14
TOI-2977 b,1,2.3505614,0.03386,13.159,89.19,0.0,947.8,1544.0,5691.0,1.07,0.94
TOI-3023 b,1,3.9014971,0.0505,16.432,88.9,0.0,1084.0,1596.0,5760.0,1.67,1.12
TOI-3261 b,1,0.8831331,0.01714,3.82,87.8,0.0,1466.0,1722.0,5068.0,0.85,0.86
TOI-3331 A b,2,2.0180231,0.03144,12.98,85.4,0.0,818.5,1488.0,5609.0,0.95,1.02
TOI-3364 b,1,5.8768918,0.0675,12.229,88.79,0.0,425.0,1264.0,5706.0,1.42,1.19
TOI-3540 A b,2,3.119999,0.04289,23.539,81.93,0.0,841.3,1498.0,5810.0,1.23,1.08
TOI-3629 b,1,3.9365578,0.04194,8.295,88.74,0.056,43.0,711.0,3865.0,0.61,0.64
TOI-3688 A b,2,3.246075,0.0456,13.081,87.9,0.0,924.3,1534.0,5950.0,1.3,1.2
TOI-3693 b,1,9.088516,0.0813,12.599,89.57,0.0,68.6,801.0,5321.0,0.79,0.87
TOI-3714 b,2,2.15484802,0.0263,11.142,87.83,0.047,57.0,764.0,3652.0,0.5,0.52
TOI-3757 b,1,3.438753,0.03845,12.0,86.76,0.14,55.4,759.0,3913.0,0.62,0.64
TOI-3785 b,1,4.6747373,0.043,5.14,88.1,0.11,19.1,582.0,3576.0,0.5,0.52
TOI-3807 b,1,2.8989727,0.0421,18.495,80.81,0.0,1230.0,1646.0,5772.0,1.47,1.18
TOI-3819 b,1,3.2443141,0.04611,13.137,82.79,0.0,1186.0,1633.0,5859.0,1.54,1.24
TOI-3884 b,1,4.5445828,0.0361,6.43,89.81,0.06,6.29,441.0,3180.0,0.3,0.3
TOI-3912 b,1,3.4936264,0.0463,14.28,85.64,0.0,872.2,1512.0,5725.0,1.39,1.09
TOI-3976 A b,2,6.607662,0.0743,12.274,87.28,0.0,469.0,1295.0,5975.0,1.5,1.25
TOI-3984 A b,2,4.353326,0.041,7.9,89.5,0.23,16.7,563.0,3476.0,0.47,0.49
TOI-4010 b,1,1.348335,0.0229,3.02,88.1,0.03,714.0,1441.0,4960.0,0.83,0.88
TOI-4010 c,1,5.414654,0.058,5.93,88.8,0.03,112.0,907.0,4960.0,0.83,0.88
TOI-4010 d,1,14.70886,0.113,6.18,89.0,0.07,30.0,650.0,4960.0,0.83,0.88
TOI-406 c,1,3.307441,0.0322,1.32,87.6,0.032,19.0,584.0,3392.0,0.41,0.41
TOI-4087 b,1,3.1774835,0.04469,13.047,87.82,0.0,753.9,1458.0,6060.0,1.11,1.18
TOI-4127 b,1,56.39879,0.3081,12.285,89.3,0.7471,22.3,605.0,6096.0,1.29,1.23
TOI-4137 b,1,3.8016122,0.05222,13.574,85.7,0.0,1013.0,1570.0,6202.0,1.44,1.31
TOI-4145 A b,2,4.0664428,0.04823,13.305,86.2,0.0,223.0,1074.0,5281.0,0.86,0.91
TOI-4201 b,1,3.5819194,0.04,13.675,88.0,0.041,45.2,725.0,3794.0,0.63,0.61
TOI-421 c,2,16.06819,0.1189,5.09,88.353,0.152,34.32,674.0,5325.0,0.87,0.85
TOI-4438 b,1,7.44628,0.0534,2.52,89.34,0.14,6.0,435.0,3422.0,0.37,0.37
TOI-4463 A b,2,2.8807198,0.04036,13.26,83.82,0.0,633.0,1395.0,5640.0,1.06,1.06
TOI-4603 b,1,7.24599,0.0888,11.68,80.21,0.325,1192.0,1677.0,6264.0,2.74,1.76
TOI-4791 b,1,4.28088,0.0555,12.442,85.55,0.0,783.2,1472.0,6058.0,1.41,1.24
TOI-4994 b,1,21.491984,0.1515,8.541,89.56,0.319,40.0,718.0,5640.0,1.05,1.0
TOI-5126 b,1,5.4588385,0.06519,4.74,88.79,0.0,467.0,1442.0,6150.0,1.24,1.24
TOI-5126 c,1,17.8999,0.1439,3.86,89.23,0.0,96.0,971.0,6150.0,1.24,1.24
TOI-5205 b,1,1.630757,0.0199,11.6,88.21,0.02,49.0,737.0,3430.0,0.39,0.39
TOI-5218 b,1,4.291452,0.0469,9.86,88.41,0.0,62.0,783.0,4230.0,0.71,0.74
TOI-5293 A b,2,2.930289,0.034,11.9,88.8,0.38,34.6,675.0,3586.0,0.52,0.54
TOI-532 b,1,2.3266508,0.0296,5.82,88.08,0.0,94.1,867.0,3927.0,0.61,0.64
TOI-5344 b,1,3.792622,0.04,9.7,87.5,0.06,35.0,679.0,3770.0,0.56,0.59
TOI-540 b,1,1.2391491,0.01223,903.0,86.8,0.0,23.4,611.0,3216.0,0.19,0.16
TOI-5542 b,1,75.12375,0.332,11.31,89.643,0.018,9.6,441.0,5700.0,1.06,0.89
TOI-561 b,1,0.4465688,0.0106,1.425,87.2,0.0,4745.0,2310.0,5372.0,0.84,0.81
TOI-5616 b,1,2.002849,0.0272,10.78,88.13,0.0,137.0,939.0,3996.0,0.65,0.67
TOI-5634 A b,2,2.2035373,0.0272,10.42,88.19,0.0,77.0,837.0,3896.0,0.54,0.56
TOI-564 b,1,1.651144,0.02734,11.433,78.38,0.072,1423.0,1714.0,5640.0,1.09,1.0
TOI-5688 A b,2,2.94815527,0.03379,10.3,87.05,0.128,50.3,742.0,3713.0,0.57,0.6
TOI-5713 b,1,10.441989,0.06008,1.77,89.37,0.24,2.26,347.0,3225.0,0.3,0.27
TOI-6002 b,1,10.904821,0.05722,1.65,89.68,0.15,1.68,321.0,3229.0,0.24,0.21
TOI-6034 b,2,2.576184,0.02949,11.92,87.06,0.04,43.0,714.0,3635.0,0.49,0.51
TOI-615 b,1,4.6615983,0.0678,18.977,86.73,0.39,1286.0,1666.0,6850.0,1.73,1.45
TOI-620 b,1,5.0988179,0.04825,3.76,87.47,0.22,20.8,604.0,3708.0,0.55,0.58
TOI-622 b,1,6.402513,0.0708,9.236,86.62,0.42,602.0,1388.0,6400.0,1.42,1.31
TOI-6383 A b,2,1.79058695,0.02292,11.29,88.8,0.05,51.3,745.0,3444.0,0.46,0.46
TOI-6651 b,1,5.056973,0.0633,5.09,84.93,0.091,817.0,1493.0,5940.0,1.72,1.32
TOI-674 b,1,1.977143,0.025,5.25,87.21,0.0,38.4,635.0,3514.0,0.42,0.42
TOI-712 b,1,9.531361,0.07928,2.049,88.22,0.54,22.6,650.0,4622.0,0.67,0.73
