planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,planet_temperature,star_temperature,star_radius,star_mass
Kepler-544 b,1,21.41624083,0.1553,2.09,89.8,0.0,74.2,748.0,6156.0,1.18,1.08
Kepler-547 b,1,6.01038429,0.058,4.02,88.24,0.0,82.31,768.0,4882.0,0.74,0.72
Kepler-549 c,1,117.040498,0.4416,2.99,88.81,0.0,3.0,336.0,5467.0,0.86,0.84
Kepler-55 d,1,2.21111699,0.0294,1.85,84.94,0.0,177.19,931.0,4500.0,0.65,0.71
Kepler-550 b,1,8.60009931,0.0747,4.17,89.84,0.0,78.72,760.0,5246.0,0.81,0.75
Kepler-551 b,1,12.37646897,0.0893,2.53,89.17,0.0,12.87,483.0,4200.0,0.61,0.62
Kepler-552 b,1,5.26341522,0.0612,3.77,85.55,0.0,349.4,1103.0,6099.0,1.03,1.1
Kepler-553 c,1,328.2399546,0.9166,11.83,89.95,0.0,0.82,242.0,5551.0,0.9,0.95
Kepler-556 b,1,11.72292176,0.1019,2.13,89.95,0.0,95.29,797.0,5957.0,0.94,1.03
Kepler-559 b,1,17.58752333,0.1299,4.17,89.38,0.0,63.2,719.0,5602.0,1.1,0.94
Kepler-560 b,2,18.47764449,0.0916,1.57,89.95,0.0,1.26,270.0,3387.0,0.3,0.3
Kepler-561 c,1,5.35015611,0.0593,2.6,89.98,0.0,226.02,989.0,5592.0,0.95,0.97
Kepler-563 b,1,22.18432708,0.1418,3.33,89.95,0.0,21.06,546.0,5157.0,0.82,0.77
Kepler-566 b,1,18.42794624,0.1234,2.08,89.38,0.0,24.64,568.0,5140.0,0.78,0.74
Kepler-568 b,1,11.02347475,0.078,2.11,89.95,0.0,7.23,418.0,3744.0,0.5,0.52
Kepler-572 b,1,17.20522898,0.1192,2.22,89.98,0.0,22.05,553.0,5211.0,0.69,0.77
Kepler-579 b,1,9.66857386,0.0854,1.9,87.59,0.0,67.06,730.0,5288.0,0.84,0.88
Kepler-581 b,1,40.606895,0.2259,2.67,89.41,0.0,17.4,521.0,5538.0,1.03,0.93
Kepler-584 b,1,35.1810304,0.2237,4.02,88.81,0.0,43.75,656.0,6466.0,1.18,1.21
Kepler-585 b,1,2.75235975,0.0384,3.64,83.65,0.0,907.58,1400.0,5749.0,1.17,0.99
Kepler-586 b,1,2.10472218,0.0331,2.96,89.38,0.0,824.28,1367.0,5705.0,0.98,1.09
Kepler-587 b,1,10.94027841,0.0955,2.16,89.38,0.0,81.96,767.0,5757.0,0.87,0.97
Kepler-588 b,1,4.22162536,0.052,2.59,89.95,0.0,453.2,1177.0,6123.0,0.99,1.05
Kepler-589 b,1,16.54964934,0.1196,2.52,89.95,0.0,43.72,656.0,5372.0,0.92,0.83
Kepler-589 c,1,3.52468054,0.0426,1.1,89.95,0.0,344.61,1099.0,5372.0,0.92,0.83
Kepler-59 c,1,17.9776037,0.1372,1.58,88.06,0.0,75.61,752.0,6296.0,1.01,1.07
Kepler-592 b,1,2.82019241,0.0397,2.17,86.52,0.0,730.86,1326.0,6091.0,0.97,1.04
Kepler-593 b,1,21.21708973,0.1508,2.6,89.38,0.0,58.63,706.0,6191.0,1.01,1.01
Kepler-594 b,1,13.64618192,0.1086,2.13,89.95,0.0,50.99,681.0,5575.0,0.83,0.92
Kepler-595 c,1,12.3860474,0.0983,1.11,89.01,0.0,50.23,679.0,5121.0,0.89,0.82
Kepler-597 b,1,13.02365861,0.107,2.22,88.81,0.0,69.76,737.0,5870.0,0.87,0.96
Kepler-598 b,1,3.70175428,0.0438,1.53,88.24,0.0,286.23,1049.0,5252.0,0.9,0.81
Kepler-598 c,1,86.4947807,0.3576,2.91,89.95,0.0,4.29,367.0,5252.0,0.9,0.81
Kepler-60 b,1,7.1329472,0.0719,1.64,86.52,0.0,349.21,1102.0,5862.0,1.31,0.97
Kepler-60 d,1,11.8984932,0.1055,1.76,88.81,0.0,249.12,1013.0,6200.0,1.45,1.1
Kepler-600 b,1,23.67517607,0.154,2.81,88.24,0.0,18.28,527.0,5302.0,0.78,0.88
Kepler-601 b,1,5.37886844,0.0547,1.77,85.94,0.0,115.57,836.0,5207.0,0.72,0.76
Kepler-602 b,1,15.28469497,0.1231,1.84,88.81,0.0,84.23,773.0,6170.0,0.99,1.06
Kepler-603 c,1,127.9075774,0.4942,5.8,89.38,0.0,3.8,356.0,5960.0,0.91,0.98
Kepler-606 b,1,24.31575992,0.1693,2.78,88.81,0.0,50.35,679.0,6241.0,1.03,1.09
Kepler-608 b,1,6.41251504,0.0685,4.03,84.8,0.0,308.76,1069.0,6026.0,1.11,1.04
Kepler-610 b,1,6.99692655,0.0719,3.28,89.95,0.0,147.07,888.0,5713.0,0.89,1.01
Kepler-610 c,1,151.86392,0.5594,2.63,89.95,0.0,2.43,318.0,5713.0,0.89,1.01
Kepler-611 b,1,2.4370333,0.0365,1.61,84.8,0.0,834.02,1371.0,5984.0,0.98,1.09
Kepler-612 b,1,3.7221589,0.0452,2.33,86.76,0.0,283.28,1046.0,5617.0,0.81,0.9
Kepler-613 b,1,15.77979614,0.1232,2.19,89.95,0.0,60.96,713.0,5941.0,0.91,1.0
Kepler-614 b,1,14.03491514,0.1027,2.35,89.38,0.0,39.97,641.0,5258.0,0.79,0.73
Kepler-615 b,1,10.35586478,0.085,1.92,89.64,0.0,34.93,620.0,4646.0,0.78,0.76
Kepler-616 b,1,9.99761851,0.0927,2.48,89.38,0.0,129.18,860.0,6004.0,0.98,1.06
Kepler-616 d,1,51.0672495,0.2749,2.62,89.95,0.0,14.69,499.0,6004.0,0.98,1.06
Kepler-618 b,1,3.59576964,0.0468,2.39,79.64,0.0,581.32,1252.0,6108.0,1.01,1.05
Kepler-619 c,1,1.20846503,0.0225,1.5,89.95,0.0,2307.65,1768.0,6122.0,0.96,1.04
Kepler-62 d,1,18.16407304,0.1212,1.98,89.97,0.0,15.72,508.0,4926.0,0.66,0.73
Kepler-62 e,1,122.3863812,0.4152,1.73,89.95,0.0,1.17,265.0,4797.0,0.65,0.64
Kepler-62 f,1,267.283301,0.699,1.42,89.95,0.0,0.41,205.0,4797.0,0.65,0.64
Kepler-621 b,1,2.62811375,0.0311,1.9,84.8,0.0,70.0,738.0,3941.0,0.56,0.58
Kepler-622 b,1,14.28226676,0.0909,1.64,88.81,0.0,4.38,369.0,3679.0,0.47,0.49
Kepler-623 b,1,9.07097734,0.0854,3.23,89.38,0.0,109.61,825.0,5672.0,0.93,1.01
Kepler-626 b,1,14.48585199,0.1086,2.17,89.95,0.0,83.76,772.0,5741.0,1.01,0.81
Kepler-627 b,1,40.6994443,0.2327,3.36,87.66,0.0,52.05,685.0,6419.0,1.36,1.01
Kepler-630 b,1,161.4743937,0.5755,4.79,89.38,0.0,8.83,440.0,6036.0,1.57,0.97
Kepler-633 b,1,8.50340718,0.0824,2.18,89.38,0.0,492.55,1201.0,6282.0,1.55,1.03
Kepler-634 b,1,5.16950177,0.0592,1.61,88.24,0.0,526.76,1222.0,6458.0,1.09,1.03
Kepler-638 b,1,6.07972888,0.0617,3.18,75.06,0.0,524.78,1221.0,5446.0,1.59,0.85
Kepler-639 b,1,10.21418792,0.0966,2.29,89.93,0.0,198.34,957.0,5843.0,1.33,1.15
Kepler-641 b,1,9.48961571,0.0879,2.02,88.24,0.0,173.79,926.0,5672.0,1.2,1.0
Kepler-645 b,1,3.27582262,0.0442,2.18,88.81,0.0,1284.07,1527.0,6449.0,1.27,1.07
Kepler-648 b,1,17.42115972,0.1341,3.11,88.24,0.0,48.91,674.0,5679.0,0.97,1.06
Kepler-65 c,1,5.85993872,0.069,2.55,89.95,0.0,552.06,1236.0,6169.0,1.42,1.27
Kepler-65 d,1,8.13122484,0.0858,1.76,83.08,0.0,357.04,1109.0,6169.0,1.42,1.27
Kepler-650 b,1,3.03214559,0.0415,3.49,89.95,0.0,1715.71,1641.0,6042.0,1.57,1.03
Kepler-653 c,1,0.90037648,0.0187,700.0,85.94,0.0,3160.48,1912.0,5665.0,1.09,1.08
Kepler-654 b,1,13.72465129,0.1211,3.04,85.94,0.0,232.63,996.0,6106.0,1.66,1.26
Kepler-656 c,1,5.25448795,0.06,1.31,88.81,0.0,214.95,977.0,5546.0,0.96,1.04
Kepler-657 b,1,24.54350418,0.1654,3.17,89.95,0.0,34.07,616.0,5955.0,0.91,1.0
Kepler-658 b,1,1.28707676,0.0187,1.42,89.38,0.0,129.27,860.0,3733.0,0.51,0.53
Kepler-659 b,1,17.671796,0.1205,2.33,88.81,0.0,16.75,516.0,4867.0,0.7,0.75
Kepler-661 b,1,6.02930132,0.0591,3.14,89.38,0.0,52.09,685.0,4536.0,0.69,0.77
Kepler-662 b,1,21.67697486,0.1236,1.54,89.95,0.0,8.09,430.0,4722.0,0.53,0.54
Kepler-664 b,1,2.52559332,0.0374,2.71,89.38,0.0,926.16,1407.0,6031.0,1.05,1.09
Kepler-665 b,1,16.01310205,0.1148,2.86,89.95,0.0,29.31,593.0,5015.0,0.83,0.79
Kepler-666 b,1,4.49876092,0.0542,2.21,89.95,0.0,389.62,1133.0,6075.0,0.97,1.05
Kepler-667 b,1,41.43962808,0.2288,5.73,89.38,0.0,16.72,516.0,5468.0,1.05,0.93
Kepler-668 b,1,8.35390639,0.0765,2.54,89.95,0.0,91.45,789.0,5592.0,0.78,0.86
Kepler-671 b,1,4.28095859,0.05,2.33,88.24,0.0,250.32,1014.0,5641.0,0.83,0.91
Kepler-673 b,1,3.72873109,0.0456,6.27,87.09,0.0,258.17,1022.0,5492.0,0.81,0.91
Kepler-678 b,1,7.27504084,0.0732,4.86,85.29,0.0,113.64,833.0,5485.0,0.87,0.99
Kepler-681 b,1,26.39435646,0.1642,3.16,89.95,0.0,13.78,491.0,5127.0,0.78,0.84
Kepler-684 b,1,6.77030038,0.064,2.77,86.84,0.0,102.87,812.0,5653.0,0.68,0.77
Kepler-687 b,1,20.50586978,0.1326,3.62,89.38,0.0,17.06,518.0,4905.0,0.76,0.74
Kepler-69 b,1,13.72237104,0.1048,2.28,89.38,0.0,73.16,746.0,5637.0,0.94,0.81
Kepler-690 b,1,7.74809437,0.0802,5.56,88.81,0.0,198.7,958.0,5918.0,1.08,1.15
Kepler-692 b,1,21.81293494,0.1495,3.62,89.95,0.0,39.33,639.0,5601.0,1.0,0.93
Kepler-695 b,1,3.04033042,0.0374,9.17,85.94,0.0,257.29,1021.0,5035.0,0.79,0.75
Kepler-697 b,1,3.70987078,0.0471,4.35,89.86,0.0,415.1,1151.0,5727.0,0.98,1.01
Kepler-700 b,1,80.8720639,0.3369,4.73,89.38,0.0,4.74,376.0,5665.0,0.76,0.78
Kepler-701 b,1,10.35533177,0.0895,3.09,85.94,0.0,86.22,777.0,5501.0,0.92,0.89
Kepler-703 b,1,4.58352176,0.0535,5.69,89.95,0.0,274.98,1039.0,5815.0,0.88,0.97
Kepler-704 b,1,3.76182115,0.047,2.59,79.07,0.0,372.62,1120.0,5653.0,0.95,0.97
Kepler-705 b,1,56.0560538,0.2261,1.96,89.95,0.0,0.64,229.0,3593.0,0.47,0.49
Kepler-707 b,1,2.23749275,0.0315,1.35,89.38,0.0,384.08,1129.0,5228.0,0.76,0.84
Kepler-709 b,1,16.08524954,0.1173,3.19,89.95,0.0,33.43,613.0,5239.0,0.83,0.83
Kepler-711 b,1,23.58914398,0.1429,3.07,87.66,0.0,13.34,487.0,4919.0,0.72,0.7
Kepler-715 b,1,10.00652995,0.0933,3.57,84.8,0.0,139.21,876.0,6063.0,1.0,1.08
Kepler-716 b,1,10.37168453,0.0874,2.79,88.81,0.0,47.36,669.0,5174.0,0.75,0.83
Kepler-716 c,1,3.96996298,0.046,1.78,86.81,0.0,229.37,992.0,5121.0,0.89,0.82
Kepler-717 b,1,4.40840023,0.052,2.73,77.35,0.0,398.0,1139.0,6007.0,0.96,0.97
Kepler-722 b,1,4.09357325,0.0514,2.46,89.38,0.0,461.07,1182.0,6077.0,1.0,1.08
Kepler-722 c,1,105.144749,0.4471,2.71,89.95,0.0,6.09,401.0,6077.0,1.0,1.08
Kepler-724 b,1,3.31494634,0.0433,3.63,89.95,0.0,421.03,1155.0,5609.0,0.94,0.98
Kepler-726 b,1,21.80451088,0.1411,2.72,88.81,0.0,21.5,549.0,5511.0,0.72,0.79
Kepler-727 b,1,5.15448442,0.0546,2.65,85.37,0.0,204.1,964.0,5431.0,0.88,0.82
Kepler-728 b,1,5.74347727,0.0625,3.23,89.95,0.0,219.95,982.0,5897.0,0.89,0.98
Kepler-729 b,1,3.16635356,0.0432,3.82,89.76,0.0,621.92,1273.0,6007.0,1.0,1.07
