planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
K2-6 b;1;30.9349;0.1882;2.5;;;28.6;;;5767.0;1.01;0.93;0.1882470688817891
K2-6 b;1;30.944648;;3.06;;;;;;5710.0;0.96;;
K2-6 b;1;30.9403;;2.44;;;;;;;0.86;;
K2-6 b;1;30.944593;;2.312;89.42;;;;;5617.0;0.86;0.93;0.18828638981192558
K2-60 b;1;3.0026215;;14.067;;;4289.27;;2254.0;5630.0;1.45;;
K2-60 b;1;3.0026376;;6.45;;;;;;5425.0;0.86;;
K2-60 b;1;3.00234671;;;;;;;;5630.0;1.45;1.0;0.040729460504728705
K2-60 b;1;3.0026;;;80.6;;;;;5630.0;1.45;1.0;0.04073175120619174
K2-60 b;1;3.002627;0.04179;9.9;;;1212.0;;;5749.0;1.47;1.08;0.04179043942080156
K2-60 b;1;3.00265;0.045;7.656;88.49;0.0;;61.0;1400.0;5500.0;1.12;0.97;0.04032073885850838
K2-60 b;1;3.002654;;10.45;;;;;;;1.52;;
K2-61 b;1;2.57302;0.0392;2.48;;;1686.0;;;6293.0;1.36;1.21;0.03915843503963656
K2-61 b;1;2.5735352;;1.94;;;;;;5680.0;0.95;;
K2-61 b;1;2.573413;;1.933;85.996;;;;;5761.0;1.02;1.03;0.037115344627831
K2-61 b;1;2.57275378;;;;;;;;5718.0;1.0;1.02;0.03698852127288615
K2-61 b;1;2.57333;;2.03;;;;;;;1.05;;
K2-62 b;1;6.671774;;1.926;89.1;;;;;4636.0;0.65;0.68;0.06099093401009562
K2-62 b;1;6.67202;0.0636;2.14;;;66.0;;;4880.0;0.73;0.77;0.06357258877156362
K2-62 b;1;6.6717686;;2.18;;;;;;4500.0;0.69;;
K2-62 b;1;6.67010938;;;;;;;;4555.0;0.7;0.72;0.062153782668160094
K2-62 b;1;6.67196;;1.697;;;;;;;0.58;;
K2-62 c;1;16.197189;;2.11;;;;;;4500.0;0.69;;
K2-62 c;1;16.19803;;1.73;;;;;;;0.58;;
K2-62 c;1;16.1966;0.1148;2.14;;;20.5;;;4880.0;0.73;0.77;0.11482794037073811
K2-62 c;1;16.197201;;1.891;89.605;;;;;4636.0;0.65;0.68;0.11017026164947269
K2-63 b;1;20.257;0.1627;3.22;;;188.0;;;6771.0;1.63;1.4;0.16269000013008492
K2-63 b;1;20.2653;;2.89;;;;;;;1.27;;
K2-63 b;1;20.258209;;2.08;;;;;;5686.0;0.95;;
K2-63 c;1;25.457815;;2.99;;;;;;5686.0;0.95;;
K2-63 c;1;25.4569;;3.66;;;;;;;1.27;;
K2-63 c;1;25.4556;0.189;3.9;;;139.0;;;6771.0;1.63;1.4;0.18945220578381156
K2-64 b;1;6.5311178;;2.85;;;;;;5313.0;0.82;;
K2-64 b;1;6.53147301;;;;;;;;5391.0;0.88;0.94;0.06698611711995449
K2-64 b;1;6.53044;0.0619;2.07;;;98.0;;;5312.0;0.73;0.74;0.061845337593877545
K2-64 b;1;6.53142;;2.79;;;;;;;0.87;;
K2-65 b;1;12.65309622;;;;;;;;;;;
K2-65 b;1;12.6475;0.1014;1.58;;;45.0;;;5213.0;0.84;0.87;0.10141704955294077
K2-65 b;1;12.647815;;1.382;89.148;;;;;4799.0;0.67;0.7;0.09432882945739073
K2-65 b;1;12.647849;;1.65;;;;;;4711.0;0.72;;
K2-65 b;1;12.64655;;1.47;;;;;;;0.72;;
K2-66 b;1;5.06965;0.06069;2.49;;;897.0;;;5958.0;1.71;1.16;0.060683796537354555
K2-66 b;1;5.0689232;;2.93;;;;;;6490.0;1.59;;
K2-66 b;1;5.06963;0.05983;2.49;86.6;0.0;840.0;7.4;1372.0;5887.0;1.67;1.11;0.059798909545072665
K2-68 b;1;8.05423;;1.73;;;;;;;0.66;;
K2-68 b;1;8.05428;0.0708;1.58;;;41.0;;;4746.0;0.68;0.73;0.07080439200315775
K2-68 b;1;8.0549321;;2.01;;;;;;4720.0;0.72;;
K2-68 b;1;8.054787;;1.828;88.715;;;;;4893.0;0.7;0.75;0.0714481887476121
K2-69 b;1;7.0658874;;3.07;;;;;;4059.0;0.61;;
K2-69 b;1;7.06599;0.0591;2.32;;;17.9;;;4127.0;0.49;0.55;0.05904335188374473
K2-69 b;1;7.065;;2.4;;;;;;;0.49;;
K2-7 b;1;28.6781;0.1867;4.035;89.08;0.24;;;786.0;5700.0;1.53;1.06;0.18695494944790494
K2-7 b;1;28.6911;;4.3;;;;;;;1.6;;
K2-7 b;1;28.67992;0.1814;2.67;;;;;651.0;5772.0;0.96;0.97;0.18151421035658136
K2-7 b;1;28.6777;0.1864;4.12;;;125.0;;;5715.0;2.13;1.05;0.18636344933911225
K2-70 b;1;13.98746633;;;;;;;;5064.0;0.79;0.85;0.10762184677388531
K2-70 b;1;13.97896;0.1112;2.89;;;62.0;;;5622.0;0.93;0.94;0.11124844643871748
K2-70 b;1;13.97876;;2.77;;;;;;5026.0;0.77;;
K2-70 b;1;13.978518;;2.75;89.145;;;;;5131.0;0.8;0.85;0.10757594193839053
K2-70 b;1;13.9782;;2.69;;;;;;;0.78;;
K2-71 b;1;6.9862794;;3.32;;;;;;3891.0;0.57;;
K2-71 b;1;6.98541;0.0559;2.15;;;13.4;;;4006.0;0.43;0.48;0.05599420836475798
K2-72 b;1;5.57739;0.037;750.0;;;5.4;;;3497.0;0.23;0.22;0.037156060806296534
K2-72 b;1;5.5773147;;1.54;;;;;;3563.0;0.43;;
K2-72 b;1;5.577212;0.04;1.08;89.15;0.11;8.5;;;3360.47;0.33;0.27;0.03978024489072519
K2-72 c;1;15.189034;0.078;1.16;89.54;0.11;2.2;;;3360.47;0.33;0.27;0.07757875156395642
K2-72 c;1;15.1871;0.0722;860.0;;;1.41;;;3497.0;0.23;0.22;0.07245342011577736
K2-72 d;1;7.760178;0.05;1.01;89.26;0.11;5.4;;;3360.47;0.33;0.27;0.04957968984543519
K2-72 d;1;7.7599;0.0461;730.0;;;3.5;;;3497.0;0.23;0.22;0.046306974351605364
K2-72 e;1;24.1669;0.098;820.0;;;0.76;;;3497.0;0.23;0.22;0.09875436159878112
K2-72 e;1;24.158868;0.106;1.29;89.68;0.11;1.2;;;3360.47;0.33;0.27;0.10570780888980824
K2-73 b;1;7.49543;0.07619;2.45;;;213.0;;;5922.0;1.06;1.05;0.07618372967810032
K2-73 b;1;7.495;;;86.7;;;;;5865.0;1.06;1.06;0.07642189610190377
K2-73 b;1;7.4956613;;4.74;;;;;;6634.0;1.77;;
K2-73 b;1;7.495692;;2.625;88.443;;;;;5844.0;1.05;1.04;0.07594287434397119
K2-73 b;1;7.49569;;2.71;;;;;;;1.08;;
K2-73 b;1;7.49491004;;;;;;;;5865.0;1.06;1.06;0.07642128458955985
K2-74 b;1;19.565086;;2.94;;;;;;5804.0;1.01;;
K2-74 b;1;19.565557;;2.959;88.92;;;;;5929.0;1.09;0.99;0.14162545054308265
K2-74 b;1;19.5688;;3.66;;;;;;;1.05;;
K2-74 b;1;19.5666;0.1402;2.31;;;59.1;;;6060.0;0.98;0.96;0.14018517380989412
K2-75 b;1;7.8173399;;2.16;;;;;;5800.0;1.01;;
K2-75 b;1;7.8142;0.081;2.67;;;430.0;;;5995.0;1.56;1.16;0.08097366072251748
K2-75 b;1;7.817949;;2.549;87.413;;;;;6022.0;1.24;1.17;0.08123164936975855
K2-75 b;1;7.81751;;3.08;;;;;;;1.49;;
K2-75 c;1;18.286069;;2.626;88.796;;;;;6022.0;1.24;1.17;0.14313426720431274
K2-75 c;1;18.283257;;2.31;;;;;;5800.0;1.01;;
K2-75 c;1;18.311;0.1429;2.77;;;138.0;;;5995.0;1.56;1.16;0.14285500707950863
K2-75 c;1;18.289;;3.16;;;;;;;1.49;;
K2-77 b;1;8.20075;0.076;2.47;;;83.0;;;5297.0;0.83;0.87;0.07597608219408805
K2-77 b;1;8.199814;;2.498;88.927;;;;;5070.0;0.78;0.85;0.07538363435427607
K2-77 b;1;8.199796;;2.3;88.7;0.14;58.0;;;4970.0;0.76;0.8;0.07387544724081013
K2-77 b;1;8.20008746;;2.8;;;58.2;;704.0;4865.6;0.79;;
K2-77 b;1;8.2000844;0.0753;2.5;88.33;0.29;;;806.0;5160.0;0.79;0.85;0.07538529159696479
K2-77 b;1;8.2008;;;;;;;;4865.6;0.79;0.79;0.07357234629011361
K2-77 b;1;8.20023;;2.53;;;;;;;0.78;;
K2-79 b;1;10.99573;0.0987;3.69;;;186.0;;;5926.0;1.28;1.06;0.09867021975249206
K2-79 b;1;10.994748;;4.05;;;;;;5926.0;1.25;1.06;0.09866434501153463
K2-79 b;1;10.99501;;4.55;;;;;;;1.37;;
K2-79 b;1;10.9947;0.0988;4.09;88.44;0.23;181.0;2.63;1022.0;5897.0;1.26;1.07;0.09897335159118674
K2-79 b;1;21.99036194;;4.603;;;56.47;;699.0;5294.0;1.33;;
K2-79 b;1;10.993948;;3.147;88.635;;;;;5839.0;1.04;1.06;0.09865955894257139
K2-8 b;1;10.3516;;2.86;;;;;;;0.71;;
K2-8 b;1;10.353263;;3.09;;;;;;4797.0;0.73;;
K2-8 b;1;10.3535;0.0877;3.32;;;52.0;;;5147.0;0.8;0.84;0.08771744693133433
K2-8 b;1;10.35848367;;;;;;;;4779.0;0.77;0.77;0.0852371907430481
K2-8 b;1;10.35239;0.0856;3.58;86.42;;37.7;;631.0;4870.0;0.74;0.78;0.08557102079759464
K2-8 b;1;10.35176;0.0856;2.97;;;;;691.0;4890.0;0.74;0.79;0.08593167073343777
K2-8 c;1;5.06347;;2.32;;;;;;;0.71;;
K2-8 c;1;5.0639064;;2.46;;;;;;4797.0;0.73;;
K2-8 c;1;5.06468;;2.31;;;;;877.0;;;;
K2-8 c;1;5.06408;0.0545;2.44;;;135.0;;;5147.0;0.8;0.84;0.05445380470700037
K2-8 c;1;5.06416;0.0532;2.41;86.7;;97.8;;801.0;4870.0;0.74;0.78;0.05312568899116251
K2-80 b;1;19.0912;;2.03;;;;;;;0.79;;
K2-80 b;1;19.09995;;2.113;88.994;;;;;5377.0;0.84;0.91;0.13550959476691993
K2-80 b;1;19.0918;0.135;2.01;;;32.5;;;5441.0;0.87;0.9;0.13497298401497557
K2-80 c;1;5.605309;;1.489;87.916;;;;;5377.0;0.84;0.91;0.05984321702332067
K2-80 c;1;5.60473;;1.41;;;;;;;0.79;;
K2-80 c;1;5.605;0.0596;1.47;;;166.0;;;5441.0;0.87;0.9;0.059621011984916816
K2-80 d;1;28.8819;;2.39;;;;;;;0.79;;
K2-80 d;1;28.867253;;2.552;89.397;;;;;5377.0;0.84;0.91;0.17846464755954522
K2-81 b;1;6.102325;0.059;1.97;89.29;0.06;62.9;;;4674.13;0.63;0.75;0.05937706670882091
K2-81 b;1;6.10241;;2.38;;;;;;;0.7;;
K2-81 b;1;6.10099028;;;;;;;;4784.0;0.76;0.77;0.05989150492859781
K2-81 b;1;6.10224;0.0579;1.82;;;44.0;;;4530.0;0.63;0.7;0.058026578727627155
K2-83 b;1;2.747128;;1.36;;;;;;;0.42;;
K2-83 b;1;2.747227;0.032;1.71;88.72;0.07;38.8;;;3875.75;0.55;0.59;0.0321969794333537
K2-83 b;1;2.74697;0.03014;1.244;;;41.5;;;3910.0;0.42;0.48;0.030055072895699912
K2-83 c;1;9.99767;0.07131;1.483;;;7.42;;;3910.0;0.42;0.48;0.07111278812609508
K2-83 c;1;10.00102551;;;;;;;;3848.0;0.56;0.56;0.0748790733504732
K2-83 c;1;9.99791;;1.7;;;;;;;0.42;;
K2-83 c;1;9.997442;0.076;2.11;89.51;0.06;6.9;;;3875.75;0.55;0.59;0.076174806833726
K2-84 b;1;6.4215;0.0665;2.41;;;178.0;;;5652.0;0.93;0.95;0.0664661140707016
K2-84 b;1;6.42149;;2.51;;;;;;;0.84;;
K2-84 c;1;27.8522;;2.16;;;;;;;0.84;;
K2-84 c;1;27.86;0.1768;2.03;;;25.3;;;5652.0;0.93;0.95;0.17680588048833956
K2-85 b;1;0.684533;0.01263;1.01;;;479.0;;;4268.0;0.51;0.57;0.012603446061131682
K2-85 b;1;0.684575;;1.4;85.9;;;;;4462.0;0.71;;
K2-85 b;1;0.684557;0.013;1.37;80.21;0.24;1069.1;;;4376.21;0.68;0.7;0.013497101671661594
K2-85 b;1;0.684541;;1.36;;;;;;;0.67;;
K2-85 b;1;0.684559;;1.2;89.4;;;;;4427.0;0.68;;
K2-85 b;1;0.684553;;1.276;85.471;;;;;4441.0;0.65;0.68;0.013367261737135745
K2-85 b;1;0.68458757;;;;;;;;4222.0;0.73;0.66;0.013235349489794468
K2-86 b;1;8.775864;;1.975;88.56;;;;;5129.0;0.72;0.76;0.07598581906967004
K2-86 b;1;8.77709;;5.1;;;;;;;0.8;;
K2-86 b;1;8.77683;0.077;1.96;;;78.0;;;5482.0;0.76;0.79;0.07697840655165443
K2-87 b;1;9.72665;;7.239;;;361.74;;1214.0;5583.6;1.45;;
K2-87 b;1;9.72739;0.0876;4.6;;;85.0;;;5406.0;0.93;0.95;0.08766781508099368
K2-87 b;1;9.726618;0.094;7.6;87.74;;;;979.0;5747.0;1.4;1.16;0.09369764278866077
K2-87 b;1;9.72664;;8.42;;;;;;;1.51;;
K2-88 b;1;4.61244;;1.27;;;;;;;0.26;;
K2-88 b;1;4.61228;0.042;2.3;87.75;0.26;16.4;;;3624.15;0.46;0.48;0.04245794312149194
K2-88 b;1;4.6122;0.0345;1.23;;;7.8;;;3537.0;0.26;0.26;0.03460971044208107
K2-89 b;1;1.095979;0.017;1.08;85.77;0.15;144.4;;;3677.0;0.54;0.53;0.016835584823933186
K2-89 b;1;1.095962;;617.0;;;;;;;0.32;;
K2-89 b;1;1.096026;0.01462;615.0;;;78.0;;;3691.0;0.32;0.35;0.014661261774759588
K2-9 b;1;18.44883;0.0848;1.6;;;;;284.0;3468.0;0.25;0.24;0.08491499638404476
K2-9 b;1;18.4474;0.1098;5.6;;;4.4;;;4052.0;0.47;0.52;0.10987342262929352
K2-9 b;1;18.448653;;3.33;;;;;;3765.0;0.52;;
K2-9 b;1;18.4498;0.091;2.25;87.983;;1.36;;314.0;3390.0;0.31;0.3;0.09147511319350553
K2-9 b;1;18.44951;;3.09;;;;;;;0.47;;
K2-90 b;1;13.73288;;2.64;;;;;;;0.65;;
K2-90 b;1;13.71468745;;;;;;;;4133.13;0.65;0.65;0.09713218482689055
K2-90 b;1;13.733314;0.096;2.6;89.24;;;;502.0;4484.0;0.62;0.63;0.09621257659603205
K2-90 b;1;13.7311;0.0926;2.04;;;7.5;;;4136.0;0.49;0.56;0.09249842215083444
K2-90 b;1;13.734907;0.1;2.53;89.4;0.07;10.2;;;4421.98;0.63;0.7;0.09965932109120854
K2-90 c;1;2.90022;;1.36;;;;;;;0.65;;
K2-90 c;1;2.90032;0.0328;1.02;;;59.0;;;4136.0;0.49;0.56;0.03280661203902231
K2-90 c;1;2.900706;0.035;1.3;86.94;0.19;80.8;;;4421.98;0.63;0.7;0.03534298700816978
K2-91 b;1;1.419714;;1.18;;;;;;;0.28;;
K2-91 b;1;1.419549;0.0164;1.1;;;46.0;;;3622.0;0.28;0.29;0.01636192334129356
K2-91 b;1;1.419604;0.018;1.22;88.62;0.09;56.1;;;3488.9;0.32;0.38;0.01790499087458345
K2-91 b;1;1.41929871;;;;;;;;3326.0;0.36;0.35;0.017418335405485263
K2-95 b;1;10.134279;;14.8;;;;;;;0.43;;
K2-95 b;1;10.13446;;1.92;;;;;;;0.23;;
K2-95 b;1;10.135091;;3.7;89.4;0.16;;;;3410.0;0.44;0.43;0.069179276499879
K2-95 b;1;10.1338;;;;;;;;3411.0;0.41;0.41;0.06808387520638619
K2-95 b;1;10.134016;0.0696;3.88;;;;;383.0;3548.0;0.42;0.44;0.06970651621140554
K2-95 b;1;10.134231;;1.76;90.0;;;;;;0.23;;
K2-95 b;1;10.13389;0.0653;3.47;88.77;;;6.8;;3471.0;0.4;0.36;0.0651958151471059
K2-95 b;1;10.1346454;0.0525;3.31;;;;;474.0;3566.0;0.4;0.41;0.06808766169699801
K2-97 b;1;8.407115;0.0854;13.451;75.5;0.207;;48.7;1566.0;4673.0;4.14;1.17;0.08526315029438693
K2-97 b;1;8.406;;;;;;;;4642.56;4.71;;
K2-97 b;1;8.4061;;14.684;;;;103.0;;4790.0;4.2;1.16;0.08501269682808013
K2-97 b;1;8.4071591;;10.125;;;114.15;;910.0;4642.6;4.71;;
K2-97 b;1;8.406951;;11.5;;;;;;;4.79;;
K2-97 b;1;8.4061;;14.684;;;;;;4790.0;4.2;1.16;0.08501269682808013
K2-97 b;1;8.406726;0.086;10.61;;;;;1499.0;4717.0;4.47;1.2;0.08598310140427776
K2-97 b;1;8.405276;;8.043;85.854;;;;;4836.0;2.95;1.05;0.08223042112104591
K2-97 b;1;8.40685;;10.88;;;;;;;4.09;;
K2-97 b;1;;0.081;14.684;;0.22;;;;;4.2;1.16;
K2-98 b;1;10.136448;0.0974;5.2;;;;;1092.0;6172.0;1.57;1.2;0.0974059998754489
K2-98 b;1;10.136527;;4.5;;;;;;;1.39;;
K2-98 b;1;10.13892836;;;;;;;;6283.0;1.51;1.23;0.09822706530213418
K2-98 b;1;10.136796;;5.008;88.5;;;;;6095.0;1.51;1.16;0.096313662125065
K2-98 b;1;10.13675;0.0943;4.3;89.0;0.0;;9.1;1102.0;6120.0;1.31;1.07;0.09375515984618726
K2-98 b;1;10.1367349;0.0986;5.066;88.39;0.119;;8.8;1185.0;6260.0;1.52;1.25;0.09874235761591572
K2-98 b;1;10.1367283;;5.441;;;992.26;;1563.0;6283.0;1.51;;
K2-98 b;1;10.13682;;4.6;;;;;;;1.37;;
K2-98 b;1;10.136;;;;;;;;6283.0;1.51;1.23;0.09820815087338262
K2-99 b;1;18.248708;;10.536;87.633;;;;;6033.0;2.28;1.42;0.15247042997327276
K2-99 b;1;18.24841;;12.48;;;;;;;2.71;;
K2-99 b;1;18.249;0.159;14.46;87.7;0.19;;56.0;;5990.0;3.1;1.6;0.15866000752656453
K2-99 b;1;18.251985;0.1597;11.73;;;;;1113.0;6217.0;2.63;1.63;0.1596629070794128
K2-99 b;1;18.25;;;;;;;;6073.27;2.73;1.14;0.14171363082820643
K2-99 b;1;18.252213;;8.3;;;;;;;1.98;;
K2-99 b;1;18.24783;0.153;11.882;88.6;0.22;;54.0;1184.0;6069.0;2.55;1.44;0.15317800553379174
K2-99 c;1;522.2;1.43;;;0.21;;170.0;390.0;6069.0;2.55;1.44;1.4331121277094299
KELT-1 b;1;1.217494;;;86.3;0.0037;;;;6596.04;1.46;1.38;0.024843093702587082
KELT-1 b;1;1.21749415;;;86.8;0.0013;;;;6518.0;1.46;1.32;0.024477703022182228
KELT-1 b;1;1.21750887;;12.138;;;5879.56;;2233.0;6596.04;1.46;;
KELT-1 b;1;1.21749399;;;;;;;;6518.0;1.46;1.32;0.024477700877650325
KELT-1 b;1;1.2175163;;;;;;;;6518.0;1.46;1.32;0.024477999904910827
KELT-1 b;1;1.21749448;;;;;;;;6596.04;1.46;1.38;0.02484310023222046
KELT-1 b;1;1.217514;0.02466;12.442;87.8;0.0099;;;;6518.0;1.46;1.32;0.02447796907744264
KELT-10 b;1;4.16612653;;14.537;;;533.34;;1226.0;5883.0;1.16;;
KELT-10 b;1;4.1662541;;;88.6;;;;;5948.0;1.21;1.11;0.052465392293596105
KELT-10 b;1;4.166262;;;;;;;;;;;
KELT-10 b;1;4.1662739;0.0525;15.681;88.61;;600.0;80.0;1377.0;5948.0;1.21;1.11;0.052465558520286344
KELT-11 b;1;4.7362006;;;85.3;0.0007;;;;5370.0;2.72;1.44;0.06232691798257467
KELT-11 b;1;4.736099;;;;;;;;5375.0;2.69;1.44;0.062326026629914266
KELT-11 b;1;4.73592319;;13.575;;;468.26;;1186.0;5370.0;2.79;;
KELT-11 b;1;4.7362034;;;;;;;;;;;
KELT-11 b;1;4.7361;;15.132;85.3;0.0007;;;;5375.0;2.69;1.44;0.06232603540310143
KELT-11 b;1;4.7362083;0.0625;;84.18;0.03;;;;5326.0;2.79;;
KELT-11 b;1;4.73626;0.0626;;;0.7;;29.2;;5326.0;2.83;1.46;0.06261466638392477
KELT-11 b;1;4.736529;0.06229;15.356;85.8;0.0;1433.0;18.5;1712.0;5370.0;2.72;1.44;0.06232979904344513
KELT-11 b;1;4.73620495;;;;;;;;5326.0;2.79;;
KELT-12 b;1;5.031617;;;;;;;;6279.0;2.37;1.59;0.06707162896725537
KELT-12 b;1;5.0316328;;;84.5;;;;;6279.0;2.37;1.59;0.06707176937688022
KELT-12 b;1;5.0316347;;15.4;;;1248.65;;1656.0;6350.0;2.16;;
KELT-12 b;1;5.031623;0.06708;19.952;84.47;0.0;1749.0;82.0;1800.0;6279.0;2.37;1.59;0.06707168228738339
KELT-14 b;1;1.7100566;0.03005;19.537;78.3;0.0;;185.1;1970.0;5720.0;1.52;1.24;0.030066461130202574
KELT-14 b;1;1.7100529;;;;;;;;5720.0;1.52;1.24;0.030066417760898773
KELT-14 b;1;1.71005328;;;78.3;;;;;5720.0;1.52;1.24;0.030066422215044932
KELT-14 b;1;1.7100122;;17.219;;;826.11;;1493.0;5720.0;1.51;;
KELT-14 b;1;1.71005325;;;;;;;;;;;
KELT-14 b;1;1.7100588;0.02956;17.038;79.67;0.0;;179.8;1904.0;5802.0;1.37;1.18;0.029573504620699232
KELT-15 b;2;3.32946492;;16.027;;;1612.76;;1616.0;6003.0;1.52;;
KELT-15 b;2;3.32944;;19.504;88.3;0.0;;110.0;;6003.0;1.78;2.06;0.055522792101567235
KELT-15 b;2;3.329475;;;;;;;;6003.0;1.48;1.18;0.04611185606183995
KELT-15 b;2;3.3294663;;;;;;;;;;;
KELT-15 b;2;3.329466;;;88.3;;;;;6003.0;1.48;1.18;0.04611177296427622
KELT-15 b;2;3.329441;0.04613;16.175;88.3;0.0;;110.0;1642.0;6003.0;1.48;1.18;0.04611154213731742
KELT-16 b;2;0.96899272;;17.133;;;6992.03;;2332.0;6430.0;1.41;;
KELT-16 b;2;0.9689951;0.02044;15.861;84.4;0.0;;494.0;2453.0;6236.0;1.36;1.21;0.02042102825694472
KELT-16 b;2;0.96899285;;;;;;;;;;;
KELT-16 b;2;0.96899296;;;84.4;;;;;6236.0;1.36;1.21;0.020420998190733824
KELT-16 b;2;0.96899328;;;;;;;;6236.0;1.36;1.21;0.020421002686617236
KELT-17 b;1;3.0801716;0.04881;17.094;84.87;;;131.0;2087.0;7454.0;1.65;1.64;0.048857658887872635
KELT-17 b;1;3.08017985;;;84.87;;;;;7454.0;1.65;1.64;0.04885774612879257
KELT-17 b;1;3.08017953;;17.061;;;3331.87;;1938.0;7511.0;1.7;;
KELT-17 b;1;3.0801735;;;;;;;;;;;
KELT-18 b;2;2.87169867;;;;;;;;;;;
KELT-18 b;2;2.8716983;;18.127;;;4494.25;;2281.0;6840.0;1.91;;
KELT-18 b;2;2.8717023;;;;;;;;6670.0;1.91;1.52;0.04546134030044141
KELT-18 b;2;2.8716995;;;88.9;;;;;6670.0;1.91;1.52;0.045461310749612856
KELT-18 b;2;2.8717518;0.0455;17.598;88.86;0.0;3152.0;127.0;2085.0;6670.0;1.91;1.52;0.04546186271528922
KELT-18 b;2;2.8716992;;;82.9;;;;;6840.0;1.91;1.48;0.04505897402688389
KELT-19 A b;2;4.6117361;;;85.41;;;;;7500.0;1.83;1.62;0.06368190775959742
KELT-19 A b;2;4.6117343;;;;;;;;;;;
KELT-19 A b;2;4.6117328;;18.796;;;1460.67;;1722.0;7346.0;1.67;;
KELT-19 A b;2;4.6117093;0.0637;21.409;85.41;;2340.0;352.0;1935.0;7500.0;1.83;1.62;0.06368166104458686
KELT-2 A b;2;4.11377556;;;88.6;;;;;6151.0;1.83;1.31;0.05497757629328595
KELT-2 A b;2;4.113791;0.05497;14.46;88.6;0.081;;162.3;;6148.0;1.83;1.31;0.05497771385600817
KELT-2 A b;2;4.1137862;;15.037;;;3108.45;;2080.0;6327.0;1.88;;
KELT-2 A b;2;4.1137912;0.05496;14.415;88.6;0.0;;;;6151.0;1.83;1.31;0.054977715637907584
KELT-2 A b;2;4.11379;;15.132;88.6;0.0;;161.1;;6327.0;1.93;1.54;0.05802338766343624
KELT-20 b;1;3.47410042;;;86.12;;;;;8720.0;1.56;1.76;0.05420015933943713
KELT-20 b;1;3.474119;0.057;20.512;86.4;0.0;;;2260.0;8980.0;1.6;1.89;0.05550325977500255
KELT-20 b;1;3.47410024;;;;;;;;;;;
KELT-20 b;1;3.4741012;;21.291;;;3453.07;;2084.0;8894.8;1.62;;
KELT-20 b;1;3.4741084;;;;;;;;8720.0;1.56;1.76;0.0542002423378259
KELT-20 b;1;3.4741085;0.0542;19.515;86.12;;4362.5;311.3;2262.0;8720.0;1.56;1.76;0.05420024337790556
KELT-21 b;1;3.61276958;;;86.46;;;;;7598.0;1.64;1.46;0.052273216376153425
KELT-21 b;1;3.6127691;;;;;;;;;;;
KELT-21 b;1;3.612771;;19.366;;;5011.92;;2344.0;8324.0;1.71;;
KELT-21 b;1;3.6127647;0.05224;17.777;86.46;0.0;2950.0;399.6;2051.0;7598.0;1.64;1.46;0.05227316930361481
KELT-23 A b;2;2.255251;0.03302;14.83;85.37;0.0;991.18;150.6;1561.0;5899.0;1.0;0.94;0.03296911601622264
KELT-23 A b;2;2.25528739;;;;;;;;;;;
KELT-23 A b;2;2.25528783;;;85.96;;;;;5898.0;0.96;1.07;0.03442421184316312
KELT-23 A b;2;2.2552845;;14.688;;;549.72;;1348.0;5787.0;0.96;;
KELT-23 A b;2;2.25528745;;;85.96;;;;;5899.0;1.0;0.94;0.03296947125267355
KELT-24 b;2;5.55149;0.067;15.244;87.6;0.05;;415.0;1473.0;6415.0;1.52;1.3;0.06696618951028117
KELT-24 b;2;5.5514975;;;;;;;;6509.0;1.51;1.46;0.06960799853761038
KELT-24 b;2;5.5514926;0.06969;14.258;89.17;0.077;750.9;462.0;1459.0;6509.0;1.51;1.46;0.0696079575781824
KELT-24 b;2;5.55149344;;;89.17;0.077;;;;6509.0;1.51;1.46;0.06960796459979947
KELT-24 b;2;5.5514888;;15.804;;;802.86;;1482.0;6403.9;1.55;;
KELT-24 b;2;5.5514946;;;;;;;;;;;
KELT-24 b;2;5.5514918;;;85.08;0.033;;428.0;;6321.17;1.55;1.25;0.06609641457511062
KELT-24 b;2;5.55149296;0.0665;12.711;89.67;0.0319;624.0;449.1;1391.0;6426.0;1.34;1.27;0.06644707450217902
KELT-3 b;2;2.703385;;;;;;;;6518.0;1.61;1.34;0.04187051424372292
KELT-3 b;2;2.7033898;;;;;;;;;;;
KELT-3 b;2;2.70339023;;;;;;;;6306.0;;;
KELT-3 b;2;2.70339;0.04123;15.076;84.23;0.035;;182.3;;6308.0;1.47;1.28;0.04123606549569617
KELT-3 b;2;2.7033942;;16.72;;;1704.57;;1790.0;6518.0;1.61;;
KELT-3 b;2;2.7033904;;15.132;;0.0;;;;6306.0;1.47;1.28;0.041236069563286806
KELT-3 b;2;2.70339;;17.486;84.14;0.0;;179.6;;6304.0;1.7;1.96;0.04752906322576416
KELT-3 b;2;2.7033878;;;;;;;;6306.0;1.47;1.28;0.041236043123944056
KELT-3 b;2;2.70338919;;;84.2;;;;;6306.0;1.47;1.28;0.0412360572588245
KELT-3 b;2;2.7033904;0.04122;15.076;84.23;0.0;;182.0;1816.0;6306.0;1.47;1.28;0.041236069563286806
KELT-4 A b;3;2.9895092;;18.818;;;1949.87;;1695.0;6317.0;1.61;;
KELT-4 A b;3;2.989594;;19.055;;0.03;;;;6207.0;1.6;1.2;0.043158862155706426
KELT-4 A b;3;2.989592;;;;;;;;;;;
